Cancer	TotalNo	EXTENDclass	Frequency	Fraction
ACC	78	High	32	0.410
ACC	78	Low	46	0.590
BLCA	404	High	190	0.470
BLCA	404	Low	214	0.530
BRCA	1090	High	449	0.412
BRCA	1090	Low	641	0.588
CESC	303	High	124	0.409
CESC	303	Low	179	0.591
CHOL	36	High	7	0.194
CHOL	36	Low	29	0.806
COAD	280	High	142	0.507
COAD	280	Low	138	0.493
DLBC	48	High	21	0.438
DLBC	48	Low	27	0.563
ESCA	183	High	82	0.448
ESCA	183	Low	101	0.552
GBM	169	High	89	0.527
GBM	169	Low	80	0.473
HNSC	516	High	268	0.519
HNSC	516	Low	248	0.481
KICH	65	High	7	0.108
KICH	65	Low	58	0.892
KIRC	516	High	187	0.362
KIRC	516	Low	329	0.638
KIRP	286	High	59	0.206
KIRP	286	Low	227	0.794
LAML	173	High	108	0.624
LAML	173	Low	65	0.376
LGG	202	High	58	0.287
LGG	202	Low	144	0.713
LIHC	371	High	129	0.348
LIHC	371	Low	242	0.652
LUAD	512	High	228	0.445
LUAD	512	Low	284	0.555
LUSC	487	High	248	0.509
LUSC	487	Low	239	0.491
MESO	87	High	42	0.483
MESO	87	Low	45	0.517
OV	306	High	122	0.399
OV	306	Low	184	0.601
PAAD	157	High	52	0.331
PAAD	157	Low	105	0.669
PCPG	183	High	40	0.219
PCPG	183	Low	143	0.781
PRAD	494	High	203	0.411
PRAD	494	Low	291	0.589
READ	90	High	52	0.578
READ	90	Low	38	0.422
SARC	258	High	116	0.450
SARC	258	Low	142	0.550
SKCM	472	High	233	0.494
SKCM	472	Low	239	0.506
STAD	401	High	215	0.536
STAD	401	Low	186	0.464
TGCT	155	High	112	0.723
TGCT	155	Low	43	0.277
THCA	508	High	148	0.291
THCA	508	Low	360	0.709
THYM	120	High	69	0.575
THYM	120	Low	51	0.425
UCEC	174	High	98	0.563
UCEC	174	Low	76	0.437
UCS	57	High	12	0.211
UCS	57	Low	45	0.789
UVM	80	High	55	0.688
UVM	80	Low	25	0.313
