Cancer	group1	group2	n1	n2	meanTL_High	meanTL_Low	estimate	.y.	statistic	p	conf.low	conf.high	method	alternative	p.adj(FDR)	Significance
ACC	High	Low	32	46	-0.260	-0.326	-0.019997344	TLratio	724.5	0.911	-0.320040555	0.280012655	Wilcoxon	two.sided	0.96	NS
BLCA	High	Low	190	212	-0.350	-0.363	-2.09E-05	TLratio	20100.5	0.973	-0.109991525	0.109955002	Wilcoxon	two.sided	0.973	NS
BRCA	High	Low	359	512	-0.316	-0.215	-0.140030969	TLratio	79821.5	0.000946	-0.22995713	-0.059995202	Wilcoxon	two.sided	0.007568	Sig
CESC	High	Low	40	59	-0.457	-0.434	-0.17000974	TLratio	1000	0.201	-0.439951497	0.099935731	Wilcoxon	two.sided	0.412	NS
CHOL	High	Low	7	28	-0.171	-0.599	0.192189416	TLratio	126.5	0.248	-0.140073798	0.879961672	Wilcoxon	two.sided	0.456888889	NS
COAD	High	Low	140	133	-0.379	-0.144	-0.139953181	TLratio	7949.5	0.037	-0.269974759	-0.009982268	Wilcoxon	two.sided	0.131555556	NS
DLBC	High	Low	21	23	-0.340	-0.434	0.040031394	TLratio	254	0.778	-0.249958597	0.380008665	Wilcoxon	two.sided	0.889142857	NS
ESCA	High	Low	82	100	-0.476	-0.092	-0.208367999	TLratio	3421.5	0.0552	-0.439985656	0.009978829	Wilcoxon	two.sided	0.17664	NS
GBM	High	Low	86	74	-0.477	0.032	-0.36002414	TLratio	2413.5	0.00858	-0.659946604	-0.089968629	Wilcoxon	two.sided	0.04576	Sig
HNSC	High	Low	244	238	-0.416	-0.286	-0.080036452	TLratio	26874.5	0.158	-0.199915684	0.030044454	Wilcoxon	two.sided	0.361142857	NS
KICH	High	Low	7	58	-0.289	-0.327	0.04006049	TLratio	221	0.711	-0.239997989	0.279981481	Wilcoxon	two.sided	0.875076923	NS
KIRC	High	Low	142	235	-0.511	-0.569	0.080025009	TLratio	17667	0.338	-0.089950367	0.260049521	Wilcoxon	two.sided	0.537904762	NS
KIRP	High	Low	59	224	-0.623	-0.301	-0.340046815	TLratio	4230.5	2.13E-05	-0.47997897	-0.199975436	Wilcoxon	two.sided	0.0003408	Sig
LAML	High	Low	96	59	-0.208	-0.083	-0.160029771	TLratio	2488	0.206	-0.399959927	0.080011258	Wilcoxon	two.sided	0.412	NS
LGG	High	Low	57	144	-0.198	0.512	-0.510032382	TLratio	2630	7.36E-05	-0.780030094	-0.260090985	Wilcoxon	two.sided	0.000785067	Sig
LIHC	High	Low	129	239	-0.252	-0.365	0.090056755	TLratio	17102	0.0833	-0.010017541	0.200031047	Wilcoxon	two.sided	0.242327273	NS
LUAD	High	Low	223	282	-0.300	-0.326	-0.040056856	TLratio	30356	0.505	-0.170075979	0.080001893	Wilcoxon	two.sided	0.702608696	NS
LUSC	High	Low	242	227	-0.200	-0.105	-0.059964956	TLratio	26288	0.422	-0.199991145	0.079963075	Wilcoxon	two.sided	0.613818182	NS
OV	High	Low	21	16	-0.316	-0.636	0.240003237	TLratio	205.5	0.257	-0.189995282	0.729928786	Wilcoxon	two.sided	0.456888889	NS
PAAD	High	Low	51	105	-0.492	-0.198	-0.160007052	TLratio	2391.5	0.281	-0.479991206	0.139993707	Wilcoxon	two.sided	0.473263158	NS
PCPG	High	Low	40	143	-0.237	-0.270	-0.030005737	TLratio	2707.5	0.608	-0.150010774	0.099959542	Wilcoxon	two.sided	0.810666667	NS
PRAD	High	Low	200	287	-0.526	-0.381	-0.119997046	TLratio	24914.5	0.0132	-0.210036896	-0.020003773	Wilcoxon	two.sided	0.060342857	NS
READ	High	Low	49	36	-0.241	-0.379	0.020008905	TLratio	916	0.766	-0.129930488	0.190084402	Wilcoxon	two.sided	0.889142857	NS
SARC	High	Low	109	140	0.056	0.209	-0.210035862	TLratio	6410	0.0305	-0.390008698	-0.019956251	Wilcoxon	two.sided	0.122	NS
SKCM	High	Low	226	229	-0.252	-0.390	0.089981864	TLratio	27955.5	0.138	-0.029942974	0.20005182	Wilcoxon	two.sided	0.339692308	NS
STAD	High	Low	214	185	-0.344	-0.264	-0.11001374	TLratio	18089.5	0.138	-0.269924121	0.039986268	Wilcoxon	two.sided	0.339692308	NS
TGCT	High	Low	112	43	0.038	0.305	-0.300007932	TLratio	1671.5	0.00327	-0.480035876	-0.109999268	Wilcoxon	two.sided	0.020928	Sig
THCA	High	Low	145	356	-0.404	-0.311	-0.060079906	TLratio	24444.5	0.353	-0.200057541	0.070025631	Wilcoxon	two.sided	0.537904762	NS
THYM	High	Low	67	48	0.086	-0.481	0.559966388	TLratio	2518	2.49E-07	0.37002739	0.729978749	Wilcoxon	two.sided	7.97E-06	Sig
UCEC	High	Low	5	4	0.100	-0.168	0.075	TLratio	11	0.905	-0.64	1.2	Wilcoxon	two.sided	0.96	NS
UCS	High	Low	12	45	-0.316	0.064	0.050047972	TLratio	275	0.93	-0.940033064	0.639944146	Wilcoxon	two.sided	0.96	NS
UVM	High	Low	55	25	-0.931	-0.965	0.059915853	TLratio	725	0.701	-0.159968704	0.239928407	Wilcoxon	two.sided	0.875076923	NS
