Cancer	mean_low	mean_high	n_low	n_high	p_value	adj_p_value	significance	ci_lower	ci_upper	cohen_d	d_ci_low	d_ci_high
ACC	0.805777777777778	0.744838709677419	45	31	0.35405341218105	0.467350504078985	NS	-0.191358234039008	0.0694800978382916	-0.218982239814658	-0.677077046399835	0.240581314829408
BLCA	0.438857142857143	0.565079365079365	210	189	3.72071516774713e-06	1.75405143622365e-05	Sig	0.0733492885451637	0.179095155899281	0.471020388269574	0.271506602371127	0.669956336715939
BRCA	0.358815331010453	0.602566585956416	574	413	1.18930115267484e-41	3.92469380382697e-40	Sig	0.210157532762669	0.277344977129258	0.915078746719143	0.782103106351619	1.04763070171436
CESC	0.4176875	0.434298245614035	160	114	0.613108142586705	0.632267772042539	NS	-0.0480193088324512	0.0812408000605214	0.0624334271963599	-0.177902120773826	0.302654315330309
CHOL	0.561034482758621	0.634285714285714	29	7	0.589470103414708	0.632267772042539	NS	-0.22552810618905	0.372030569243237	0.256678648278428	-0.572801583725461	1.08241812679767
COAD	0.39	0.42203007518797	128	133	0.403847189693868	0.512575279226832	NS	-0.0434051452435904	0.10746529561953	0.103261747139728	-0.13968245094323	0.346006944013114
DLBC	0.262941176470588	0.312	17	20	0.588148453528214	0.632267772042539	NS	-0.13317086534038	0.231288512399204	0.177214668717606	-0.471924282274262	0.823841238564125
ESCA	0.575978260869565	0.648846153846154	92	78	0.0333589218523066	0.0611580233958954	NS	0.00581464169012933	0.139921144263048	0.326548193935658	0.0223883378220279	0.629749092792373
GBM	0.36890625	0.371014492753623	64	69	0.964203449446346	0.964203449446346	NS	-0.0906467655422325	0.0948632510494789	0.00780162993351324	-0.332355868108508	0.347929373941578
HNSC	0.389449152542373	0.444071146245059	236	253	0.0180844374176851	0.0372991521739755	Sig	0.00937404330784709	0.0998699440975257	0.214016233239444	0.0360262596581013	0.39178771219464
KICH	0.792068965517241	0.885714285714286	58	7	0.0510450246791027	0.0842242907205194	NS	-0.000441933092389295	0.187732573486478	0.316423354099752	-0.470986851908816	1.10133910047834
KIRC	0.233133640552995	0.282720588235294	217	136	0.0684914554542725	0.102737183181409	NS	-0.00378692146535431	0.102960816829952	0.201743769827187	-0.0132739561072429	0.416475532930181
KIRP	0.327064220183486	0.453703703703704	218	54	0.0149427068635774	0.0328739550998703	Sig	0.0253240964269709	0.227954870613464	0.382558411386114	0.0825423595069828	0.681874141086309
LAML	0.0133333333333333	0.0695098039215686	60	102	0.00240226232004392	0.00660622138012078	Sig	0.020331430734444	0.0920215104420265	0.395390320506779	0.0729771013225156	0.71659015259052
LGG	0.144791666666667	0.272241379310345	144	58	0.00217690636160492	0.00653071908481476	Sig	0.0475735164590075	0.207325908828349	0.631124713825961	0.319352444492943	0.941379319279967
LIHC	0.399170305676856	0.535819672131148	229	122	1.89670139198536e-05	7.8238932419396e-05	Sig	0.0749099497980107	0.198388783110573	0.482466133453771	0.25954777417446	0.70471046778194
LUAD	0.388566308243728	0.590355555555556	279	225	1.24689914772484e-21	2.05738359374599e-20	Sig	0.162193499669833	0.241384994953823	0.882897655471936	0.698584927110579	1.06640471643652
LUSC	0.516299559471366	0.698697478991597	227	238	6.50712011293925e-20	7.15783212423318e-19	Sig	0.145037684286192	0.21975815475427	0.894363243774279	0.703187324161587	1.08465707687827
MESO	0.270975609756098	0.552682926829268	41	41	5.6936046735908e-05	0.000208765504698329	Sig	0.150007755731987	0.413406878414354	0.940543166324224	0.481209085811803	1.39457701694531
OV	0.774666666666667	0.818243243243243	105	74	0.0611245506684901	0.0960528653361988	NS	-0.00205534849046152	0.0892085016436148	0.276162070773508	-0.023094422457539	0.574645863101288
PAAD	0.17921568627451	0.424313725490196	102	51	2.10896437979264e-07	1.39191649066314e-06	Sig	0.159551497700328	0.330644580731044	1.09332131858177	0.733716896864325	1.4497159811268
PCPG	0.290461538461538	0.486388888888889	130	36	0.00329308619483795	0.00835937264843481	Sig	0.0683934475968793	0.323461253257822	0.625404018321598	0.249206660930453	0.999754942963359
PRAD	0.113439716312057	0.222626262626263	282	198	5.52107201353598e-08	4.55488441116718e-07	Sig	0.0706192183579735	0.147753874270438	0.555660603168442	0.370275941844258	0.74048413044491
READ	0.529189189189189	0.444375	37	48	0.115671759869749	0.159048669820905	NS	-0.190977576350781	0.0213491979724022	-0.352690218227469	-0.78376014994772	0.0804700093371585
SARC	0.522692307692308	0.664705882352941	130	102	0.000591287402820638	0.0019512484293081	Sig	0.0617074651824133	0.222319684138854	0.453317028559901	0.190299961680068	0.715372439023291
SKCM	0.491379310344828	0.556329787234043	174	188	0.0310759928140577	0.0603239860508179	NS	0.00594158453762699	0.123959369240803	0.227265269271902	0.0202606491036533	0.433956287976164
STAD	0.315083798882682	0.457352941176471	179	204	9.51431546186727e-07	5.232873504027e-06	Sig	0.0861328854727793	0.198405399114799	0.506081414431817	0.301843397843009	0.709675040244956
TGCT	0.639047619047619	0.60712962962963	42	108	0.510893858104967	0.60212490419514	NS	-0.128451758565717	0.0646157797297379	-0.13606724092619	-0.492590360493341	0.220914346331094
THCA	0.0338550724637681	0.0256338028169014	345	142	0.442822275243953	0.541227225298165	NS	-0.0292596747675082	0.0128171354737748	-0.063726111295101	-0.259149842495561	0.131763265769965
THYM	0.156862745098039	0.045	51	68	0.00759890638973717	0.0179117079186662	Sig	-0.192971833422591	-0.0307536567734871	-0.559063037191855	-0.927959176516133	-0.187865295709987
