Cancer	mean_low	mean_high	n_low	n_high	p_value	adj_p_value	significance	ci_lower	ci_upper	cohen_d	d_ci_low	d_ci_high
ACC	0.471555555555556	0.375161290322581	45	31	0.116562109745305	0.213697201199726	NS	-0.217458202884147	0.0246696724181969	-0.375330793391934	-0.835526669174205	0.0873553909660259
BLCA	0.173495145631068	0.205752688172043	206	186	0.00533533222097739	0.0160059966629322	Sig	0.00962350903662677	0.0548915760453233	0.284429699880125	0.0850029946433982	0.483495330836806
BRCA	0.156768953068592	0.251907090464548	554	409	7.96664967516028e-21	2.62899439280289e-19	Sig	0.0757593450578307	0.114516929734081	0.648301496834945	0.517120927995316	0.779160423155456
CESC	0.1714375	0.167631578947368	160	114	0.769274473888265	0.898744050970843	NS	-0.0293381429500649	0.0217263008448017	-0.0362696734992719	-0.276476666783844	0.204003945696294
CHOL	0.211379310344828	0.255714285714286	29	7	0.308171676132154	0.46225751419823	NS	-0.0480711514682012	0.136741102207118	0.439034680647912	-0.396029098509398	1.26776364359776
COAD	0.13	0.131278195488722	126	133	0.924637283988554	0.964266385232418	NS	-0.0253049120151559	0.0278613029925995	0.0117491618855177	-0.231925844175593	0.255401439894314
DLBC	0.101176470588235	0.095	17	20	0.789805378125892	0.898744050970843	NS	-0.0531024718188589	0.0407495306423883	-0.0907641645422004	-0.737026880567906	0.556789056124709
ESCA	0.312564102564103	0.302876712328767	78	73	0.665076261684552	0.843354184478691	NS	-0.0538220347504764	0.0344472542798055	-0.0708122078965794	-0.389968882941329	0.248581737440744
GBM	0.14952380952381	0.141014492753623	63	69	0.69001706002802	0.843354184478691	NS	-0.0506404058482619	0.0336217723078892	-0.0700899283385167	-0.411600294187748	0.271689633009897
HNSC	0.222317596566524	0.214302788844622	233	251	0.492669699546136	0.665519158440838	NS	-0.0309517407669763	0.0149221253231721	-0.0623845989483134	-0.240697621844687	0.115993082660597
KICH	0.354137931034483	0.437142857142857	58	7	0.0358201321712843	0.0788042907768256	NS	0.00631774605977342	0.159692106156975	0.525177733342813	-0.266423974963414	1.31267331776147
KIRC	0.0877830188679245	0.125378787878788	212	132	0.00165803088471794	0.00607944657729913	Sig	0.0143505768566645	0.0608409611650622	0.390899778010191	0.171348394603283	0.609889565522646
KIRP	0.0526267281105991	0.139814814814815	217	54	0.000510433731903642	0.00280738552547003	Sig	0.0396653444344852	0.134710828973946	0.762220117398241	0.456607315339269	1.06647674151497
LAML	0.0126315789473684	0.0277941176470588	38	68	0.0238802113435886	0.0562890695956017	NS	0.00204801785615735	0.0282770595432235	0.406485803966282	0.00474415061031929	0.806310788003311
LGG	0.0479577464788732	0.0828070175438596	142	57	1.57368277171195e-07	1.73105104888314e-06	Sig	0.0223682613972995	0.0473302807326733	0.756860926530996	0.439685340289265	1.07221848524967
LIHC	0.104273127753304	0.145666666666667	227	120	2.17246933374006e-05	0.000179228720033555	Sig	0.0225869232818414	0.060200154544884	0.500999473254526	0.276299804397396	0.724992433254378
LUAD	0.199148148148148	0.298214285714286	270	224	2.16282523814844e-12	3.56866164294493e-11	Sig	0.0720846727021631	0.126047602430112	0.652865456327592	0.470780192989298	0.834319062843013
LUSC	0.332907488986784	0.365485232067511	227	237	0.00457293319929888	0.0150906795576863	Sig	0.0101154666994004	0.0550400194620524	0.266004790151582	0.083035866943713	0.448688311037851
MESO	0.187948717948718	0.251951219512195	39	41	0.124529930727591	0.216288827053184	NS	-0.0181254593029949	0.146130462429949	0.351186150692609	-0.0917583594255168	0.791916428838867
OV	0.270388349514563	0.317638888888889	103	72	0.00749612997346104	0.0190286376249396	Sig	0.0128243030232433	0.0816767757254084	0.42727208098924	0.122245063457451	0.731090728426438
PAAD	0.139340659340659	0.2106	91	50	0.00132580866422912	0.00546896073994514	Sig	0.0285236124105089	0.113995068908172	0.601626791860663	0.248400316077089	0.952773921898492
PCPG	0.10093023255814	0.140555555555556	129	36	0.000807037640369389	0.00380460601888426	Sig	0.0172339320021231	0.062016713992709	0.678786935326626	0.301079100839615	1.05448975183331
PRAD	0.0580223880597015	0.0709137055837563	268	197	0.00675095340750355	0.0185651218706348	Sig	0.00358536686833996	0.0221972681797697	0.261606860888604	0.076757930928714	0.446175576813732
READ	0.183783783783784	0.16625	37	48	0.438828534217016	0.629623549093979	NS	-0.0624462664745857	0.0273786989070182	-0.17418787310519	-0.603262949359842	0.255931136683449
SARC	0.244488188976378	0.2462	127	100	0.946793481304497	0.964266385232418	NS	-0.0487792767177214	0.0522028987649655	0.00867288807195065	-0.253372887398017	0.270699384996097
SKCM	0.204327485380117	0.186720430107527	171	186	0.134681818529152	0.2222250005731	NS	-0.0407033370966688	0.00548922655148862	-0.159489719587203	-0.367356644213627	0.0486010790288171
STAD	0.213023255813953	0.213793103448276	172	203	0.964266385232418	0.964266385232418	NS	-0.0330004304619547	0.0345401257305995	0.00465848192918621	-0.198464353595693	0.207775075352252
TGCT	0.172619047619048	0.146111111111111	42	108	0.145728544403689	0.229001998348654	NS	-0.0624568555170364	0.00944098250116342	-0.284906230200537	-0.642317418298568	0.073459142399837
THCA	0.00618461538461538	0.00751824817518248	325	137	0.504181180636998	0.665519158440838	NS	-0.00259107980218534	0.00525834538331953	0.0640509007793595	-0.135675749433211	0.263707973131312
THYM	0.0678	0.0235849056603774	50	53	0.0508133267667471	0.104802486456416	NS	-0.088589903231839	0.000159714552593703	-0.392747309031382	-0.781968008026762	-0.00162031763757994
