Cancer	estimate	.y.	group1	group2	n1	n2	statistic	p	conf.low	conf.high	method	alternative	p.adj	p.adj.signif	mean_High	mean_Low	Sig
ACC	0.230035026482455	mutLoad_nonsilent	High	Low	31	45	905	0.0286	0.0200085540532341	0.440003066746033	Wilcoxon	two.sided	0.0555176470588235	ns	1.4358064516129	1.81155555555556	NS
BLCA	1.61993904184253	mutLoad_nonsilent	High	Low	187	210	24748	7.47e-06	0.919998576501183	2.36990957835455	Wilcoxon	two.sided	3.081375e-05	****	7.73235294117647	5.88847619047619	Sig
BRCA	0.270038988486686	mutLoad_nonsilent	High	Low	409	570	144839.5	9.17e-11	0.190083390897256	0.359948906717952	Wilcoxon	two.sided	6.3162e-10	****	1.94283618581907	2.2919649122807	Sig
CESC	0.300012684724483	mutLoad_nonsilent	High	Low	56	83	2617.5	0.208	-0.149987752800651	0.800032614775648	Wilcoxon	two.sided	0.298434782608696	ns	4.49517857142857	3.02457831325301	NS
CHOL	0.219996469792688	mutLoad_nonsilent	High	Low	7	29	146	0.0785	-0.0200091046325537	0.459993515437457	Wilcoxon	two.sided	0.129525	ns	2.84428571428571	0.691034482758621	NS
COAD	0.439957227214903	mutLoad_nonsilent	High	Low	127	125	9405	0.0112	0.0999883970236495	0.810026770411689	Wilcoxon	two.sided	0.0264	*	11.8657480314961	9.29576	Sig
DLBC	1.475	mutLoad_nonsilent	High	Low	20	17	269	0.00201	0.57	2.29	Wilcoxon	two.sided	0.00603	**	3.6125	2.43705882352941	Sig
ESCA	-0.0899760460497162	mutLoad_nonsilent	High	Low	75	89	3153	0.544	-0.46003141621129	0.240041652216901	Wilcoxon	two.sided	0.664888888888889	ns	3.29986666666667	2.72056179775281	NS
GBM	-0.0699656636773271	mutLoad_nonsilent	High	Low	66	55	1645	0.378	-0.220020424055621	0.0900273558553098	Wilcoxon	two.sided	0.482307692307692	ns	1.47560606060606	7.75290909090909	NS
HNSC	0.349974425370754	mutLoad_nonsilent	High	Low	251	236	33127	0.0238	0.0499543873691497	0.670048671390494	Wilcoxon	two.sided	0.0490875	*	4.37784860557769	3.3653813559322	Sig
KICH	0.249955274516319	mutLoad_nonsilent	High	Low	7	58	334	0.00571	0.0899759590702787	0.679978306841788	Wilcoxon	two.sided	0.0154592307692308	*	2.98285714285714	0.483103448275862	Sig
KIRC	0.119979353999331	mutLoad_nonsilent	High	Low	135	216	16339	0.0572	-8.58996049442805e-06	0.249961621216379	Wilcoxon	two.sided	0.104866666666667	ns	1.65822222222222	1.33953703703704	NS
KIRP	0.0300230724829332	mutLoad_nonsilent	High	Low	54	217	6015	0.763	-0.170009044449575	0.250004376929872	Wilcoxon	two.sided	0.8393	ns	1.48407407407407	1.43322580645161	NS
LAML	0.120050890000337	mutLoad_nonsilent	High	Low	76	46	2200.5	0.0168	0.0100802399619964	0.240026869696481	Wilcoxon	two.sided	0.03696	*	1.51710526315789	0.657826086956522	Sig
LGG	0.0200222597484651	mutLoad_nonsilent	High	Low	54	141	3981.5	0.622	-0.0699505465999306	0.11997972238619	Wilcoxon	two.sided	0.707793103448276	ns	0.747222222222222	0.74822695035461	NS
LIHC	0.33002131049478	mutLoad_nonsilent	High	Low	103	206	12640	0.00609	0.0999439908035108	0.559958298527404	Wilcoxon	two.sided	0.0154592307692308	*	2.45932038834951	2.46927184466019	Sig
LUAD	3.24003782264193	mutLoad_nonsilent	High	Low	223	279	43034	1.53e-13	2.32999506629454	4.14992385665767	Wilcoxon	two.sided	2.5245e-12	****	9.98632286995516	5.99799283154122	Sig
LUSC	0.978606091642188	mutLoad_nonsilent	High	Low	237	226	31677.5	0.000669	0.420021825793053	1.54999700484638	Wilcoxon	two.sided	0.0022077	**	7.72991561181435	6.87969026548673	Sig
MESO	0.109958518897373	mutLoad_nonsilent	High	Low	41	41	1036	0.0704	-0.00996274407171352	0.239969423537531	Wilcoxon	two.sided	0.122273684210526	ns	0.718536585365854	0.721463414634146	NS
OV	-0.0299507318445977	mutLoad_nonsilent	High	Low	68	105	3523.5	0.886	-0.329959485144746	0.279976585707647	Wilcoxon	two.sided	0.909	ns	2.34911764705882	2.33152380952381	NS
PAAD	0.340014348805756	mutLoad_nonsilent	High	Low	51	101	3607	5.73e-05	0.179949500733079	0.509956685982139	Wilcoxon	two.sided	0.0002101	***	1.19058823529412	4.63138613861386	Sig
PCPG	0.0400156838064151	mutLoad_nonsilent	High	Low	34	127	2522	0.133	-0.0100054944068635	0.109945223860715	Wilcoxon	two.sided	0.209	ns	0.316176470588235	0.24748031496063	NS
PRAD	0.149999175879913	mutLoad_nonsilent	High	Low	197	282	35745.5	9.01e-08	0.0900408956840641	0.200020652021912	Wilcoxon	two.sided	4.9555e-07	****	1.88172588832487	0.732659574468085	Sig
READ	0.280052586402128	mutLoad_nonsilent	High	Low	46	36	983.5	0.148	-0.0899487766860049	0.670018852037562	Wilcoxon	two.sided	0.222	ns	11.7602173913043	2.33333333333333	NS
SARC	0.0699980352267569	mutLoad_nonsilent	High	Low	99	127	6873	0.229	-0.0400277531226892	0.179968021230981	Wilcoxon	two.sided	0.314875	ns	1.64464646464646	0.929291338582677	NS
SKCM	5.01729518837021	mutLoad_nonsilent	High	Low	188	175	21640.5	2.04e-07	3.0499491045947	7.17007762660752	Wilcoxon	two.sided	9.61714285714286e-07	****	22.731329787234	10.6186857142857	Sig
STAD	2.10999040197388	mutLoad_nonsilent	High	Low	204	179	27419	2.36e-17	1.59999737046187	2.74001643458935	Wilcoxon	two.sided	7.788e-16	****	13.8938725490196	4.57715083798883	Sig
TGCT	0.0299474382015424	mutLoad_nonsilent	High	Low	103	41	2310	0.38	-0.0300520546254703	0.0800253780264094	Wilcoxon	two.sided	0.482307692307692	ns	0.334271844660194	0.301219512195122	NS
THCA	0.119979896399903	mutLoad_nonsilent	High	Low	139	341	32616.5	9.57e-11	0.0800614802405921	0.150022261062057	Wilcoxon	two.sided	6.3162e-10	****	0.407985611510791	0.236950146627566	Sig
THYM	-0.239984552104198	mutLoad_nonsilent	High	Low	68	51	515	5.89e-11	-0.310033012279976	-0.169946474581704	Wilcoxon	two.sided	6.3162e-10	****	0.170735294117647	0.694509803921569	Sig
UCEC	-0.0200429781191521	mutLoad_nonsilent	High	Low	93	74	3405	0.909	-0.439941590507824	0.360056686364679	Wilcoxon	two.sided	0.909	ns	23.0058064516129	18.4987837837838	NS
UCS	0.0793332833052877	mutLoad_nonsilent	High	Low	12	44	292	0.583	-0.22994031399672	0.47994932884141	Wilcoxon	two.sided	0.687107142857143	ns	3.32	3.71	NS
UVM	0.00996843086029103	mutLoad_nonsilent	High	Low	55	25	711	0.811	-0.0499671939436986	0.0800212237176797	Wilcoxon	two.sided	0.863322580645161	ns	0.547636363636364	0.3348	NS
