Cancer	Gene	Pattern	GeneOrder	LowPercent	HighPercent
BLCA	MACF1	NonRec	BLCA_MACF1	11	19
BLCA	OBSCN	NonRec	BLCA_OBSCN	12	18
BLCA	STAG2	NonRec	BLCA_STAG2	17	11
BLCA	SYNE1	NonRec	BLCA_SYNE1	17	25
BRCA	CDH1	NonRec	BRCA_CDH1	17	7
BRCA	MAP3K1	NonRec	BRCA_MAP3K1	11	6
GBM	FLG	NonRec	GBM_FLG	14	7
LGG	CIC	NonRec	LGG_CIC	10	64
LGG	FUBP1	NonRec	LGG_FUBP1	8	21
LGG	IDH2	NonRec	LGG_IDH2	4	9
LGG	ZBTB20	NonRec	LGG_ZBTB20	3	9
LUAD	ANK2	NonRec	LUAD_ANK2	14	24
LUAD	KEAP1	NonRec	LUAD_KEAP1	14	24
LUAD	STK11	NonRec	LUAD_STK11	12	17
PAAD	KMT2C	NonRec	PAAD_KMT2C	3	8
PAAD	SMAD4	NonRec	PAAD_SMAD4	25	20
SKCM	ALK	NonRec	SKCM_ALK	10	19
SKCM	ARID2	NonRec	SKCM_ARID2	13	20
SKCM	IDH1	NonRec	SKCM_IDH1	3	8
SKCM	NRAS	NonRec	SKCM_NRAS	20	37
SKCM	PTPRT	NonRec	SKCM_PTPRT	22	33
SKCM	ROS1	NonRec	SKCM_ROS1	16	30
STAD	APC	NonRec	STAD_APC	4	18
STAD	CTNNB1	NonRec	STAD_CTNNB1	3	8
TGCT	KIT	NonRec	TGCT_KIT	5	18
THYM	GTF2I	NonRec	THYM_GTF2I	59	40
THYM	HRAS	NonRec	THYM_HRAS	18	1
UCS	PPP2R1A	NonRec	UCS_PPP2R1A	31	17
