Cancer	Fusion	Low_Fusion_Positive	Low_Fusion_Negative	High_Fusion_Positive	High_Fusion_Negative	Low_Ratio	High_Ratio	PVal	Significance	log10Pval	Size	RepOrd
ACC	ASB4--DYNC1I1	2	44	0	32	4.347826087	0	0.51	NS	0.292429824	1	1
BLCA	FGFR3--TACC3	2	212	6	184	0.934579439	3.157894737	0.16	NS	0.795880017	1	10
CESC	FGFR3--TACC3	3	176	2	122	1.675977654	1.612903226	1	NS	0	1	11
CHOL	FGFR2--BICC1	2	27	0	7	6.896551724	0	1	NS	0	1	12
COAD	DPEP1--TCF25	3	135	2	140	2.173913043	1.408450704	0.68	NS	0.167491087	1	13
COAD	VTI1A--TCF7L2	0	138	2	140	0	1.408450704	0.5	NS	0.301029996	1	14
ESCA	ACAA2--MYO5B	0	101	2	80	0	2.43902439	0.2	NS	0.698970004	1	15
ESCA	ERBB2--PSMB3	0	101	2	80	0	2.43902439	0.2	NS	0.698970004	1	16
ESCA	FGFR3--TACC3	0	101	2	80	0	2.43902439	0.2	NS	0.698970004	1	17
GBM	FRS2--DTX3	0	80	2	85	0	2.298850575	0.5	NS	0.301029996	1	18
GBM	SEC61G--EGFR	0	80	2	85	0	2.298850575	0.5	NS	0.301029996	1	19
GBM	SEC61G--ELDR	0	80	2	85	0	2.298850575	0.5	NS	0.301029996	1	2
GBM	TSFM--OS9	0	80	2	85	0	2.298850575	0.5	NS	0.301029996	1	20
GBM	EGFR--SEPT14	2	78	6	81	2.5	6.896551724	0.28	NS	0.552841969	1	21
KIRP	PRCC--TFE3	3	224	0	59	1.321585903	0	1	NS	0	1	22
LAML	CBFB--MYH11	4	61	5	103	6.153846154	4.62962963	0.73	NS	0.13667714	1	23
LAML	KMT2A--ELL	0	65	2	106	0	1.851851852	0.53	NS	0.27572413	1	24
LAML	NUP98--NSD1	0	65	2	106	0	1.851851852	0.53	NS	0.27572413	1	25
LAML	PICALM--MLLT10	0	65	2	106	0	1.851851852	0.53	NS	0.27572413	1	26
LAML	RPS8--MPO	0	65	2	106	0	1.851851852	0.53	NS	0.27572413	1	27
LAML	BCR--ABL1	0	65	4	104	0	3.703703704	0.3	NS	0.522878745	1	28
LAML	WNK1--RAD52	2	63	0	108	3.076923077	0	0.14	NS	0.853871964	1	29
LAML	RUNX1--RUNX1T1	0	65	6	102	0	5.555555556	0.08	NS	1.096910013	1	3
LAML	ABR--YWHAE	3	62	0	108	4.615384615	0	0.05	Sig	1.301029996	2	30
LAML	KMT2A--MLLT10	3	62	0	108	4.615384615	0	0.05	Sig	1.301029996	2	31
LAML	PML--RARA	12	53	4	104	18.46153846	3.703703704	0	Sig	5	3	32
LGG	NKD1--NOD2	0	144	3	55	0	5.172413793	0.02	Sig	1.698970004	2	33
LIHC	DNAJB1--PRKACA	6	236	0	128	2.479338843	0	0.1	NS	1	1	34
LUSC	FGFR3--TACC3	6	232	0	248	2.521008403	0	0.01	Sig	2	2	35
OV	MECOM--LRRC31	0	183	4	118	0	3.278688525	0.02	Sig	1.698970004	2	36
PAAD	LRIG3--ATF7	2	103	0	52	1.904761905	0	1	NS	0	1	37
PCPG	PHF21A--TTC25	2	141	0	40	1.398601399	0	1	NS	0	1	38
PCPG	UBTF--MAML3	6	137	0	40	4.195804196	0	0.34	NS	0.468521083	1	39
PCPG	IRF2BP2--SP2	0	143	2	38	0	5	0.05	Sig	1.301029996	2	4
PRAD	TMPRSS2--ETV4	5	286	3	200	1.718213058	1.477832512	1	NS	0	1	40
PRAD	ERG--TMPRSS2	2	289	3	200	0.687285223	1.477832512	0.41	NS	0.387216143	1	41
PRAD	SLC45A3--ETV1	2	289	5	198	0.687285223	2.463054187	0.13	NS	0.886056648	1	42
PRAD	TMPRSS2--ERG	101	190	88	115	34.70790378	43.34975369	0.06	NS	1.22184875	1	43
PRAD	SLC45A3--ERG	11	280	0	203	3.780068729	0	0	Sig	5	3	44
SARC	SS18--SSX1	2	140	0	116	1.408450704	0	0.5	NS	0.301029996	1	45
SARC	SS18--SSX2	2	140	4	112	1.408450704	3.448275862	0.41	NS	0.387216143	1	46
SARC	TRIO--TERT	0	142	3	113	0	2.586206897	0.09	NS	1.045757491	1	47
STAD	CLDN18--ARHGAP26	6	180	3	212	3.225806452	1.395348837	0.31	NS	0.508638306	1	48
TGCT	XBP1--TTC28	0	43	2	110	0	1.785714286	1	NS	0	1	49
TGCT	ZNF90--CMSS1	0	43	2	110	0	1.785714286	1	NS	0	1	5
THCA	RAF1--AGGF1	6	354	3	145	1.666666667	2.027027027	0.72	NS	0.142667504	1	50
THCA	CCDC6--RET	21	339	0	148	5.833333333	0	0	Sig	5	3	6
THYM	NADSYN1--KRTAP5-10	2	49	0	69	3.921568627	0	0.18	NS	0.744727495	1	7
UCEC	KLC1--MARK3	0	76	2	96	0	2.040816327	0.51	NS	0.292429824	1	8
UCEC	TNRC18--RNF216	0	76	2	96	0	2.040816327	0.51	NS	0.292429824	1	9
