Cancer	DrugTarget	Label	Ratio	EXTENDClass	PValFisher	PVal	Significance	log10Pval	Size
BLCA	BRD4	OffLabel	0.526315789	High	0.47029703	0.47	NS	0.327902142	1
BLCA	NTRK1	OffLabel	0.934579439	Low	0.500528217	0.5	NS	0.301029996	1
BLCA	FGFR3	OnLabel	0.934579439	Low	0.155225654	0.16	NS	0.795880017	1
BLCA	RAF1	OffLabel	1.052631579	High	0.220561138	0.22	NS	0.657577319	2
BLCA	EGFR	OffLabel	1.401869159	Low	0.250792325	0.25	NS	0.602059991	2
BLCA	FGFR3	OnLabel	3.157894737	High	0.155225654	0.16	NS	0.795880017	2
BRCA	FGFR2	OffLabel	0.624024961	Low	0.654123883	0.65	NS	0.187086643	1
BRCA	ESR1	OnLabel	0.624024961	Low	0.500237957	0.5	NS	0.301029996	1
BRCA	NOTCH2	OnLabel	0.668151448	High	0.311927485	0.31	NS	0.508638306	1
BRCA	BRD4	OffLabel	0.890868597	High	0.165890661	0.17	NS	0.769551079	1
BRCA	ESR1	OnLabel	1.113585746	High	0.500237957	0.5	NS	0.301029996	2
CESC	NTRK3	OffLabel	0.558659218	Low	1	1	NS	0	1
CESC	RAF1	OffLabel	0.558659218	Low	1	1	NS	0	1
CESC	BRD4	OffLabel	0.806451613	High	1	1	NS	0	1
CESC	BRD4	OffLabel	1.117318436	Low	1	1	NS	0	2
CESC	JAK2	OffLabel	1.612903226	High	0.166677595	0.17	NS	0.769551079	2
CESC	FGFR3	OffLabel	1.675977654	Low	0.6915731	0.69	NS	0.161150909	2
CESC	FGFR3	OffLabel	2.419354839	High	0.6915731	0.69	NS	0.161150909	2
CHOL	FGFR2	OnLabel	20.68965517	Low	0.3171468	0.32	NS	0.494850022	4
COAD	NTRK3	OffLabel	0.704225352	High	1	1	NS	0	1
COAD	NTRK3	OffLabel	0.724637681	Low	1	1	NS	0	1
COAD	RET	OffLabel	0.724637681	Low	0.492857143	0.49	NS	0.30980392	1
DLBC	RAF1	OffLabel	3.703703704	Low	1	1	NS	0	2
ESCA	NUP214--ABL1	OffLabel	0.99009901	Low	1	1	NS	0	1
ESCA	PDGFRA	OffLabel	1.219512195	High	0.448087432	0.45	NS	0.346787486	2
ESCA	RAF1	OffLabel	1.219512195	High	0.448087432	0.45	NS	0.346787486	2
ESCA	FGFR3	OffLabel	2.43902439	High	0.199423527	0.2	NS	0.698970004	2
GBM	ROS1	OffLabel	1.123595506	High	1	1	NS	0	2
GBM	BRAF	OffLabel	1.25	Low	0.473372781	0.47	NS	0.327902142	2
GBM	MET	OnLabel	1.25	Low	0.473372781	0.47	NS	0.327902142	2
GBM	PDGFRA	OffLabel	2.247191011	High	1	1	NS	0	2
GBM	FGFR3	OnLabel	2.247191011	High	0.498450268	0.5	NS	0.301029996	2
GBM	PDGFRA	OffLabel	2.5	Low	1	1	NS	0	2
GBM	EGFR	OffLabel	5	Low	0.257049967	0.26	NS	0.585026652	3
GBM	EGFR	OffLabel	10.11235955	High	0.257049967	0.26	NS	0.585026652	4
HNSC	EGFR	OffLabel	0.746268657	High	1	1	NS	0	1
HNSC	NOTCH1	OffLabel	0.746268657	High	1	1	NS	0	1
HNSC	FGFR3	OffLabel	0.746268657	High	0.499781742	0.5	NS	0.301029996	1
HNSC	NOTCH1	OffLabel	0.806451613	Low	1	1	NS	0	1
KICH	PDGFRB	OffLabel	1.724137931	Low	1	1	NS	0	2
KIRC	JAK2	OffLabel	0.534759358	High	0.362403101	0.36	NS	0.443697499	1
KIRP	NOTCH2	OffLabel	0.881057269	Low	1	1	NS	0	1
KIRP	ALK	OnLabel	1.694915254	High	0.370604834	0.37	NS	0.431798276	2
KIRP	FGFR3	OffLabel	1.694915254	High	0.370604834	0.37	NS	0.431798276	2
KIRP	BRAF	OffLabel	1.694915254	High	0.206293706	0.21	NS	0.677780705	2
KIRP	EML4--ALK	OffLabel	1.694915254	High	0.206293706	0.21	NS	0.677780705	2
KIRP	TMPRSS2	OffLabel	1.694915254	High	0.206293706	0.21	NS	0.677780705	2
KIRP	MET	OffLabel	3.389830508	High	0.041982579	0.04	Sig	1.397940009	2
LAML	FGFR3	OffLabel	0.925925926	High	1	1	NS	0	1
LAML	RET	OffLabel	1.538461538	Low	0.375722543	0.38	NS	0.420216403	2
LAML	BCR--ABL1	OnLabel	3.703703704	High	0.2983627	0.3	NS	0.522878745	2
LAML	PML--RARA	OnLabel	3.703703704	High	0.00202055	0	Sig	5	2
LAML	PML--RARA	OnLabel	18.46153846	Low	0.00202055	0	Sig	5	4
LGG	PDGFRA	OffLabel	0.694444444	Low	1	1	NS	0	1
LGG	MET	OffLabel	1.388888889	Low	1	1	NS	0	2
LGG	EGFR	OffLabel	3.448275862	High	0.08142456	0.08	NS	1.096910013	2
LIHC	FGFR3	OffLabel	0.775193798	High	1	1	NS	0	1
LIHC	EGFR	OffLabel	0.775193798	High	0.347708895	0.35	NS	0.455931956	1
LIHC	MET	OffLabel	0.775193798	High	0.347708895	0.35	NS	0.455931956	1
LIHC	NRG1	OffLabel	0.775193798	High	0.347708895	0.35	NS	0.455931956	1
LIHC	TMPRSS2	OffLabel	0.775193798	High	0.347708895	0.35	NS	0.455931956	1
LIHC	FGFR2	OffLabel	1.550387597	High	0.278065246	0.28	NS	0.552841969	2
LUAD	CD74--ROS1	OnLabel	0.704225352	Low	0.505014677	0.51	NS	0.292429824	1
LUAD	RET	OnLabel	0.704225352	Low	0.505014677	0.51	NS	0.292429824	1
LUAD	ALK	OnLabel	0.877192982	High	1	1	NS	0	1
LUAD	EML4--ALK	OffLabel	0.877192982	High	1	1	NS	0	1
LUAD	ALK	OnLabel	1.056338028	Low	1	1	NS	0	2
LUAD	EML4--ALK	OffLabel	1.056338028	Low	1	1	NS	0	2
LUAD	MET	OffLabel	1.315789474	High	0.08766134	0.09	NS	1.045757491	2
LUAD	ROS1	OnLabel	3.521126761	Low	0.00284048	0	Sig	5	2
LUSC	NRG1	OffLabel	0.806451613	High	1	1	NS	0	1
LUSC	ESR1	OffLabel	0.836820084	Low	0.240330908	0.24	NS	0.619788758	1
LUSC	FGFR2	OffLabel	1.209677419	High	0.248713464	0.25	NS	0.602059991	2
LUSC	FGFR3	OffLabel	2.928870293	Low	0.006552142	0.01	Sig	2	2
MESO	AKT3	OffLabel	2.380952381	High	0.482758621	0.48	NS	0.318758763	2
OV	BRAF	OffLabel	0.543478261	Low	1	1	NS	0	1
OV	BRD4	OffLabel	0.543478261	Low	1	1	NS	0	1
OV	ERBB4	OffLabel	0.543478261	Low	1	1	NS	0	1
OV	FGFR2	OffLabel	0.543478261	Low	1	1	NS	0	1
OV	NOTCH1	OffLabel	0.543478261	Low	1	1	NS	0	1
OV	NOTCH2	OffLabel	0.543478261	Low	1	1	NS	0	1
OV	RET	OffLabel	0.543478261	Low	1	1	NS	0	1
OV	NOTCH1	OffLabel	0.819672131	High	1	1	NS	0	1
OV	NOTCH2	OffLabel	0.819672131	High	1	1	NS	0	1
OV	FGFR3	OffLabel	0.819672131	High	0.39869281	0.4	NS	0.397940009	1
OV	NRG1	OffLabel	0.819672131	High	0.39869281	0.4	NS	0.397940009	1
PAAD	BRAF	OffLabel	0.952380952	Low	1	1	NS	0	1
PAAD	NRG1	OffLabel	1.904761905	Low	1	1	NS	0	2
