Cancer	Pvalue	MeanHigh	MeanLow	ConfLow	ConfHigh	FDR	Sig	HighExtendFrac	LowExtendFrac
ACC	0.0249266426590442	0.157987748722722	0.210208359580172	-0.0976608822256996	-0.00678033948919958	0.0316376618364791	Sig	0.41025641025641	0.58974358974359
BLCA	3.37710286688334e-05	0.33403050430946	0.399576198637971	-0.0962677179675694	-0.0348236706894532	6.1913552559528e-05	Sig	0.47029702970297	0.52970297029703
BRCA	8.53041395028606e-31	0.304896095161193	0.373489788982123	-0.0798355785601686	-0.0573518090816918	1.4075183017972e-29	Sig	0.411926605504587	0.588073394495413
CESC	6.69799202325797e-07	0.35807561329705	0.427402143873536	-0.0961110084124493	-0.042542052740524	1.38146085479696e-06	Sig	0.409240924092409	0.590759075907591
CHOL	0.235130530270189	0.301280665950241	0.381370391734712	-0.226066678075383	0.0658872265064414	0.250300241900524	NS	0.194444444444444	0.805555555555556
COAD	6.14243759376387e-12	0.372128892522081	0.458782837906006	-0.110388521998088	-0.0629193687697606	2.89572057991725e-11	Sig	0.507142857142857	0.492857142857143
DLBC	0.216712281999455	0.301031330327247	0.331833062010769	-0.0803113062164527	0.0187078428494089	0.238383510199401	NS	0.4375	0.5625
ESCA	1.3729181594665e-06	0.38562746167431	0.466197666699731	-0.112291640846837	-0.0488487692040044	2.66507642719967e-06	Sig	0.448087431693989	0.551912568306011
GBM	0.000283048312940233	0.284815542439375	0.349084793142876	-0.0984126971776576	-0.0301258042293447	0.000444790206048937	Sig	0.526627218934911	0.473372781065089
HNSC	3.21447990694476e-13	0.479627078111433	0.547175433884698	-0.0852849466875282	-0.0498117648590016	1.76796394881962e-12	Sig	0.51937984496124	0.48062015503876
KICH	0.300965888909779	0.230788268490765	0.27465846867215	-0.136330055916002	0.0485896555532314	0.31037107293821	NS	0.107692307692308	0.892307692307692
KIRC	0.00812820303644607	0.455141718505967	0.473974484137548	-0.0327489694521116	-0.00491656181105128	0.0111762791751133	Sig	0.362403100775194	0.637596899224806
KIRP	0.0193138013198006	0.301987809366331	0.330282926527791	-0.051899100744944	-0.00469113357797777	0.0254942177421368	Sig	0.206293706293706	0.793706293706294
LAML	0.000256118767105035	0.0564831260701959	0.0921021579940774	-0.0543444434999546	-0.0168936203478082	0.000422595965723308	Sig	0.624277456647399	0.375722543352601
LGG	2.77047063550764e-08	0.0489455487530494	0.122853748304251	-0.0987103503955041	-0.0491060487068999	6.53039506941087e-08	Sig	0.287128712871287	0.712871287128713
LIHC	1.06991204585614e-08	0.280221060254839	0.3336566823909	-0.0713037231865614	-0.0355675210855592	2.71593057794251e-08	Sig	0.347708894878706	0.652291105121294
LUAD	1.38025578156497e-09	0.438014824956135	0.494147828176229	-0.0739688250656154	-0.0382971813745734	4.55484407916441e-09	Sig	0.4453125	0.5546875
LUSC	1.39523655133939e-31	0.398912671657654	0.523812513873922	-0.144420282369003	-0.105379402063532	4.60428061942e-30	Sig	0.509240246406571	0.490759753593429
MESO	0.126361009321413	0.438074778590682	0.471406813772081	-0.0762629844362205	0.0095989140734226	0.146715440313835	NS	0.482758620689655	0.517241379310345
OV	1.10730009897708e-07	0.237649060501063	0.304305191437999	-0.0906791497916333	-0.0426331120822377	2.43606021774958e-07	Sig	0.398692810457516	0.601307189542484
PAAD	0.000137961406700521	0.481737332924997	0.529096836423632	-0.0709189555316205	-0.0238000514656483	0.000239617180058799	Sig	0.331210191082803	0.668789808917197
PCPG	9.26607434657687e-09	0.0920885731602556	0.218221290254241	-0.164624838874844	-0.0876405953131275	2.54817044530864e-08	Sig	0.218579234972678	0.781420765027322
PRAD	8.47807088968541e-25	0.174786352616614	0.258712764981362	-0.0989849715098944	-0.0688678532196011	9.32587797865395e-24	Sig	0.410931174089069	0.589068825910931
READ	0.00339440487761197	0.393908412087709	0.455539826873324	-0.102248904844993	-0.0210139247262361	0.00487023308526935	Sig	0.577777777777778	0.422222222222222
SARC	1.21330067993301e-09	0.312401575240534	0.426632757979607	-0.149724343208463	-0.0787380222696831	4.44876915975436e-09	Sig	0.449612403100775	0.550387596899225
SKCM	5.47044503839229e-18	0.245511181485545	0.340442425408548	-0.115645129740999	-0.0742173581050067	3.61049372533891e-17	Sig	0.49364406779661	0.50635593220339
STAD	2.46087970136831e-09	0.4420118863264	0.505721873237295	-0.0842104521421203	-0.0432095216796689	7.38263910410492e-09	Sig	0.536159600997506	0.463840399002494
TGCT	1.46261556247252e-11	0.194830147171415	0.33287840295875	-0.173189623895885	-0.102906887678785	6.03328919519917e-11	Sig	0.72258064516129	0.27741935483871
THCA	0.101276527439143	0.332790669563502	0.315661606599604	-0.00338166831949838	0.0376397942472955	0.123782422425619	NS	0.291338582677165	0.708661417322835
THYM	8.99191630694616e-19	0.140872818750062	0.294271220899872	-0.180711073919729	-0.12608573037989	7.41833095323059e-18	Sig	0.575	0.425
UCEC	0.00112434068699588	0.247757604245713	0.299304816487071	-0.0822484517377558	-0.0208459727449615	0.00168651103049382	Sig	0.563218390804598	0.436781609195402
UCS	0.128931750578825	0.206037488262037	0.25684535795514	-0.117852227713255	0.0162364883270485	0.146715440313835	NS	0.210526315789474	0.789473684210526
UVM	0.316740943237724	0.0328521311278565	0.0528406028243899	-0.0596012268564212	0.0196242834633543	0.316740943237724	NS	0.6875	0.3125
