SampleID	EXTENDScores	Samples	Tissues	SenescenceGenes	ClusterNo	ClusterMean	EXTENDclass
A101D_SKIN	0.517866727	A101D	Skin	1.301072731209	1	0.399361136386076	Low
A1207_CENTRAL_NERVOUS_SYSTEM	0.496930131	A1207	CNS	1.17843592341763	1	0.399361136386076	Low
A172_CENTRAL_NERVOUS_SYSTEM	0.448938542	A172	CNS	1.18987301821269	1	0.399361136386076	Low
A204_SOFT_TISSUE	0.650306987	A204	SoftTissue	1.03913450097441	2	0.650899640438531	High
A2058_SKIN	0.636576395	A2058	Skin	1.1414078026243	2	0.650899640438531	High
A253_SALIVARY_GLAND	0.460056113	A253	SalivaryGland	1.16976409454868	1	0.399361136386076	Low
A2780_OVARY	0.708704978	A2780	Ovary	0.831371979910046	2	0.650899640438531	High
A375_SKIN	0.537573787	A375	Skin	1.05906721846876	2	0.650899640438531	High
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.514934587	A3KAW	Haematpoetic&Lymphoid	0.792308229036926	1	0.399361136386076	Low
A427_LUNG	0.800397837	A427	Lung	0.920575090053303	2	0.650899640438531	High
A498_KIDNEY	0.415016954	A498	Kidney	1.16932122316996	1	0.399361136386076	Low
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.605770533	A4FUK	Haematpoetic&Lymphoid	0.940512056599877	2	0.650899640438531	High
A549_LUNG	0.69260044	A549	Lung	1.18151686971253	2	0.650899640438531	High
A673_BONE	0.719286366	A673	Bone	0.9540981866268	2	0.650899640438531	High
A704_KIDNEY	0.445255896	A704	Kidney	1.02904381760156	1	0.399361136386076	Low
ABC1_LUNG	0.649497196	ABC1	Lung	0.781397415793343	2	0.650899640438531	High
ACCMESO1_PLEURA	0.516398889	ACCMESO1	Pleura	1.13793704297497	1	0.399361136386076	Low
ACHN_KIDNEY	0.505065218	ACHN	Kidney	1.07929026571611	1	0.399361136386076	Low
AGS_STOMACH	0.579123387	AGS	Stomach	0.992398874289147	2	0.650899640438531	High
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.83217248	ALLSIL	Haematpoetic&Lymphoid	0.792682878970722	2	0.650899640438531	High
AM38_CENTRAL_NERVOUS_SYSTEM	0.595398247	AM38	CNS	1.20139170497584	2	0.650899640438531	High
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.533218689	AML193	Haematpoetic&Lymphoid	1.08642006588996	2	0.650899640438531	High
