Cancer	EXTENDclass	Pvalue	FDR	Sig	Mean	Conf	OA_Total
ACC	High	0.250351460560313	0.268233707743193	NS	0.181035452838937	0.0268768662003212	20
ACC	Low	0.250351460560313	0.268233707743193	NS	0.217709630227007	-0.100225220976461	30
BLCA	High	3.12112262867111e-05	5.50786346236079e-05	Sig	0.334872096360099	-0.0351426526042654	189
BLCA	Low	3.12112262867111e-05	5.50786346236079e-05	Sig	0.400758203989399	-0.0966295626543353	213
BRCA	High	6.83124470801798e-29	1.0246867062027e-27	Sig	0.303832416994122	-0.0570918617137599	420
BRCA	Low	6.83124470801798e-29	1.0246867062027e-27	Sig	0.372581560380273	-0.0804064250585414	601
CESC	High	2.30779961547514e-06	4.94528489030387e-06	Sig	0.347787609896788	-0.0444578804303806	94
CESC	Low	2.30779961547514e-06	4.94528489030387e-06	Sig	0.422490464891673	-0.10494782955939	128
COAD	High	4.59404329325099e-13	1.96887569710757e-12	Sig	0.366294738442888	-0.0700707614231357	141
COAD	Low	4.59404329325099e-13	1.96887569710757e-12	Sig	0.460824836427991	-0.118989434547071	132
ESCA	High	1.56320872439756e-06	3.60740474860974e-06	Sig	0.383895401138038	-0.0490843870425784	82
ESCA	Low	1.56320872439756e-06	3.60740474860974e-06	Sig	0.465144002439421	-0.113412815560189	100
GBM	High	3.53031958767225e-05	5.88386597945376e-05	Sig	0.298318488614602	-0.0385976317960178	103
GBM	Low	3.53031958767225e-05	5.88386597945376e-05	Sig	0.37021202862901	-0.105189448232798	77
HNSC	High	9.7227484870787e-14	4.86137424353935e-13	Sig	0.476087031905895	-0.0525500568428009	263
HNSC	Low	9.7227484870787e-14	4.86137424353935e-13	Sig	0.546762951435345	-0.0888017822160988	238
KICH	High	0.272252967102526	0.281641000450889	NS	0.230788268490765	0.0455737946903463	7
KICH	Low	0.272252967102526	0.281641000450889	NS	0.277924416571654	-0.139846090852125	46
KIRC	High	0.00368942215136117	0.0052706030733731	Sig	0.453742700146698	-0.00685938575596644	183
KIRC	Low	0.00368942215136117	0.0052706030733731	Sig	0.474709746592731	-0.0350747071361	319
KIRP	High	0.00703134126365251	0.00878917657956564	Sig	0.294772630846014	-0.00987418502652962	51
KIRP	Low	0.00703134126365251	0.00878917657956564	Sig	0.329932533689642	-0.0604456206607268	222
