SampleID	EXTENDScores	TERT	Time	MeanEXTEND	MeanTERT	Tissue	Time	TimeSeries	SenescenceGenes	Group
Liver.04wpc.1	0.633917909	0.677195362	W04.1	0.68	0.71	Liver	4wpc	S1_04wpc	0.83151674	S1
Liver.04wpc.2	0.70946125	0.762249125	W04.2	0.68	0.71	Liver	4wpc	S1_04wpc	0.653537194	S1
Liver.04wpc.3	0.782418867	1.132488766	W04.3	0.68	0.71	Liver	4wpc	S1_04wpc	0.71797829	S1
Liver.04wpc.4	0.584856327	0.276093616	W04.4	0.68	0.71	Liver	4wpc	S1_04wpc	0.813343104	S1
Liver.05wpc.5	0.549939822	0.24824383	W05.5	0.56	0.19	Liver	5wpc	S1_05wpc	0.816856125	S1
Liver.05wpc.6	0.577184611	0.137094598	W05.6	0.56	0.19	Liver	5wpc	S1_05wpc	0.817467124	S1
Liver.06wpc.7	0.624094087	0.778854651	W06.7	0.66	1.03	Liver	6wpc	S1_06wpc	0.799780639	S1
Liver.06wpc.8	0.700420865	1.288480457	W06.8	0.66	1.03	Liver	6wpc	S1_06wpc	0.7917083	S1
Liver.07wpc.09	0.695985167	0.735513699	W07.09	0.71	0.67	Liver	7wpc	S1_07wpc	0.774543852	S1
Liver.07wpc.10	0.732219379	0.721810944	W07.10	0.71	0.67	Liver	7wpc	S1_07wpc	0.700168743	S1
Liver.07wpc.11	0.722800698	0.651044996	W07.11	0.71	0.67	Liver	7wpc	S1_07wpc	0.79515757	S1
Liver.07wpc.12	0.706049297	0.58325333	W07.12	0.71	0.67	Liver	7wpc	S1_07wpc	0.766367509	S1
Liver.08wpc.13	0.786561223	0.925797016	W08.13	0.79	1.23	Liver	8wpc	S1_08wpc	0.751632066	S1
Liver.08wpc.14	0.823564138	1.022950367	W08.14	0.79	1.23	Liver	8wpc	S1_08wpc	0.745199446	S1
Liver.08wpc.15	0.762186289	1.150743057	W08.15	0.79	1.23	Liver	8wpc	S1_08wpc	0.784110059	S1
Liver.08wpc.16	0.783874252	1.82087321	W08.16	0.79	1.23	Liver	8wpc	S1_08wpc	0.782906695	S1
Liver.09wpc.17	0.70755716	0.978238113	W09.17	0.75	1.04	Liver	9wpc	S1_09wpc	0.812152212	S1
Liver.09wpc.18	0.731955507	1.015985566	W09.18	0.75	1.04	Liver	9wpc	S1_09wpc	0.772845035	S1
Liver.09wpc.19	0.799505626	1.126884905	W09.19	0.75	1.04	Liver	9wpc	S1_09wpc	0.75065628	S1
Liver.10wpc.20	0.747498008	0.701281645	W10.20	0.73	0.94	Liver	10wpc	S1_10wpc	0.808871815	S1
Liver.10wpc.21	0.716163451	1.166672277	W10.21	0.73	0.94	Liver	10wpc	S1_10wpc	0.972722864	S1
Liver.10wpc.22	0.741636821	1.237667395	W10.22	0.73	0.94	Liver	10wpc	S1_10wpc	0.739502274	S1
Liver.10wpc.23	0.713219058	0.668174174	W10.23	0.73	0.94	Liver	10wpc	S1_10wpc	0.750157724	S1
Liver.11wpc.24	0.639213479	0.501499712	W11.24	0.68	0.77	Liver	11wpc	S1_11wpc	0.844435134	S1
Liver.11wpc.25	0.682488279	0.728592786	W11.25	0.68	0.77	Liver	11wpc	S1_11wpc	0.800397969	S1
Liver.11wpc.26	0.729769658	1.084810389	W11.26	0.68	0.77	Liver	11wpc	S1_11wpc	0.796053096	S1
Liver.12wpc.27	0.689660975	0.493769454	W12.27	0.69	0.49	Liver	12wpc	S1_12wpc	0.758506919	S1
Liver.13wpc.28	0.703231662	0.514832377	W13.28	0.7	0.51	Liver	13wpc	S1_13wpc	0.744469191	S1
Liver.16wpc.29	0.671731811	0.44387674	W16.29	0.7	0.37	Liver	16wpc	S1_16wpc	0.860714502	S1
Liver.16wpc.30	0.720040504	0.295600595	W16.30	0.7	0.37	Liver	16wpc	S1_16wpc	0.741077516	S1
Liver.18wpc.31	0.585535069	0.388214323	W18.31	0.66	0.44	Liver	18wpc	S1_18wpc	0.946229511	S1
Liver.18wpc.32	0.708742694	0.336681676	W18.32	0.66	0.44	Liver	18wpc	S1_18wpc	0.784636344	S1
Liver.18wpc.33	0.68136925	0.582471864	W18.33	0.66	0.44	Liver	18wpc	S1_18wpc	0.839966872	S1
Liver.19wpc.34	0.708338803	0.424430849	W19.34	0.65	0.26	Liver	19wpc	S1_19wpc	0.824021342	S1
Liver.19wpc.36	0.593830646	0.101344298	W19.36	0.65	0.26	Liver	19wpc	S1_19wpc	0.73283661	S1
Liver.20wpc.35	0.677283798	0.152222772	W20.35	0.68	0.15	Liver	20wpc	S1_20wpc	0.739707016	S1
Liver.20wpc.37	0.692473162	0.14762941	W20.37	0.68	0.15	Liver	20wpc	S1_20wpc	0.801017203	S1
Liver.38.Newborn	0.361629042	0.0828589	W38.Newborn	0.34	0.17	Liver	newborn	S2_Newborn	1.242753675	S2
Liver.39.Newborn	0.312364062	0.266638577	W39.Newborn	0.34	0.17	Liver	newborn	S2_Newborn	1.037020695	S2
Liver.40.Infant	0.194226769	0	W40.Infant	0.19	0	Liver	infant	S3_Infant	0.898803298	S3
Liver.42.Todd	0.009587794	0	W42.Todd	0.01	0	Liver	toddler	S4_Toddler	0.884627964	S4
Liver.43.School	0.238158909	0	W43.School	0.24	0	Liver	school	S5_School	0.830929316	S5
Liver.44.Teen	0.151920468	0	W44.Teen	0.15	0	Liver	teenager	S6_Teen	0.797274531	S6
Liver.45.YngAdult	0.205732338	0	W45.YngAdult	0.12	0.01	Liver	youngAdult	S7_Youngadult	0.915133959	S7
Liver.46.YngAdult	0.001665439	0	W46.YngAdult	0.12	0.01	Liver	youngAdult	S7_Youngadult	0.978126609	S7
Liver.47.YngAdult	0.16051555	0.015167565	W47.YngAdult	0.12	0.01	Liver	youngAdult	S7_Youngadult	0.821478544	S7
Liver.48.OldMid	0.121759122	0	W48.OldMid	0.12	0	Liver	olderMidAge	S8_OldMid	0.783824748	S8
Liver.49.Senior	0	0	W49.Senior	0.11	0	Liver	senior	S8_OldMid	0.939528437	S8
Liver.50.Senior	0.223414504	0	W50.Senior	0.11	0	Liver	senior	S9_Senior	0.904395177	S9
