SampleID	EXTENDScores	TERT	Time	MeanEXTEND	MeanTERT	Tissue	Time	TimeSeries	SenescenceGenes	Group
Heart.04wpc.1	0.595429682	0.098958303	W04.1	0.61	0.08	Heart	4wpc	S1_04wpc	0.816288624	S1
Heart.04wpc.2	0.620413567	0.068613431	W04.2	0.61	0.08	Heart	4wpc	S1_04wpc	0.68352213	S1
Heart.05wpc.3	0.532357875	0.022184077	W05.3	0.58	0.22	Heart	5wpc	S1_05wpc	0.82111049	S1
Heart.05wpc.4	0.633204106	0.415680509	W05.4	0.58	0.22	Heart	5wpc	S1_05wpc	0.721778995	S1
Heart.06wpc.5	0.546462225	0.033266367	W06.5	0.61	0.07	Heart	6wpc	S1_06wpc	0.80104812	S1
Heart.06wpc.6	0.669624506	0.108505442	W06.6	0.61	0.07	Heart	6wpc	S1_06wpc	0.723803648	S1
Heart.07wpc.7	0.631382211	0.027593388	W07.7	0.63	0.02	Heart	7wpc	S1_07wpc	0.763433124	S1
Heart.07wpc.8	0.62522713	0.014515211	W07.8	0.63	0.02	Heart	7wpc	S1_07wpc	0.778659692	S1
Heart.07wpc.9	0.625924209	0.009645326	W07.9	0.63	0.02	Heart	7wpc	S1_07wpc	0.769858999	S1
Heart.08wpc.10	0.638069031	0.032005588	W08.10	0.57	0.02	Heart	8wpc	S1_08wpc	0.667993614	S1
Heart.08wpc.11	0.578693094	0.014634708	W08.11	0.57	0.02	Heart	8wpc	S1_08wpc	0.701420133	S1
Heart.08wpc.12	0.585770699	0.033429221	W08.12	0.57	0.02	Heart	8wpc	S1_08wpc	0.776477633	S1
Heart.08wpc.13	0.497856945	0	W08.13	0.57	0.02	Heart	8wpc	S1_08wpc	0.750089455	S1
Heart.08wpc.14	0.548621995	0.010954531	W08.14	0.57	0.02	Heart	8wpc	S1_08wpc	0.899315507	S1
Heart.09wpc.15	0.567166598	0.006072592	W09.15	0.58	0.02	Heart	9wpc	S1_09wpc	0.756554524	S1
Heart.09wpc.16	0.535142978	0.029826847	W09.16	0.58	0.02	Heart	9wpc	S1_09wpc	0.802364081	S1
Heart.09wpc.17	0.649125	0.026835017	W09.17	0.58	0.02	Heart	9wpc	S1_09wpc	0.713583269	S1
Heart.10wpc.19	0.31677221	0	W10.19	0.53	0	Heart	10wpc	S1_10wpc	0.749366128	S1
Heart.10wpc.20	0.660524592	0	W10.20	0.53	0	Heart	10wpc	S1_10wpc	0.727215063	S1
Heart.10wpc.21	0.600035909	0	W10.21	0.53	0	Heart	10wpc	S1_10wpc	0.71495335	S1
Heart.11wpc.22	0.486182928	0.007560767	W11.22	0.61	0.01	Heart	11wpc	S1_11wpc	0.812867284	S1
Heart.11wpc.23	0.696245118	0	W11.23	0.61	0.01	Heart	11wpc	S1_11wpc	0.778439805	S1
Heart.11wpc.24	0.65630802	0	W11.24	0.61	0.01	Heart	11wpc	S1_11wpc	0.743941623	S1
Heart.11wpc.25	0.588164757	0.013539209	W11.25	0.61	0.01	Heart	11wpc	S1_11wpc	0.780915206	S1
Heart.12wpc.27	0.451006613	0	W12.27	0.45	0	Heart	12wpc	S1_12wpc	0.701379406	S1
Heart.13wpc.28	0.401709743	0	W13.28	0.44	0.02	Heart	13wpc	S1_13wpc	0.761263595	S1
Heart.13wpc.30	0.373210856	0	W13.30	0.44	0.02	Heart	13wpc	S1_13wpc	0.700782455	S1
Heart.13wpc.31	0.54613285	0.048300676	W13.31	0.44	0.02	Heart	13wpc	S1_13wpc	0.829070091	S1
Heart.16wpc.33	0.335121495	0	W16.33	0.45	0	Heart	16wpc	S1_16wpc	0.827177278	S1
Heart.16wpc.34	0.570908674	0.009852976	W16.34	0.45	0	Heart	16wpc	S1_16wpc	0.822497646	S1
Heart.18wpc.36	0.364277804	0	W18.36	0.36	0	Heart	18wpc	S1_18wpc	0.800833542	S1
Heart.19wpc.35	0.49988871	0.013565074	W19.35	0.43	0.01	Heart	19wpc	S1_19wpc	0.80068507	S1
Heart.19wpc.37	0.499982362	0.008417501	W19.37	0.43	0.01	Heart	19wpc	S1_19wpc	0.756718123	S1
Heart.19wpc.38	0.278778801	0	W19.38	0.43	0.01	Heart	19wpc	S1_19wpc	0.911442707	S1
Heart.39.Newborn	0.127604764	0	W39.Newborn	0.18	0	Heart	newborn	S2_Newborn	0.840113104	S2
Heart.41.Newborn	0.224715658	0	W41.Newborn	0.18	0	Heart	newborn	S2_Newborn	0.91453362	S2
Heart.43.Infant	0.350499519	0	W43.Infant	0.24	0	Heart	infant	S3_Infant	0.896466848	S3
Heart.44.Infant	0.155225112	0	W44.Infant	0.24	0	Heart	infant	S3_Infant	0.819603136	S3
Heart.45.Infant	0.202312221	0	W45.Infant	0.24	0	Heart	infant	S3_Infant	0.81301099	S3
Heart.46.Todd	0.316544747	0.024139324	W46.Todd	0.27	0.01	Heart	toddler	S4_Toddler	0.900874548	S4
Heart.47.Todd	0.213700285	0	W47.Todd	0.27	0.01	Heart	toddler	S4_Toddler	0.964024756	S4
Heart.48.Teen	0.146667956	0	W48.Teen	0.15	0	Heart	teenager	S5_Teen	0.93190178	S5
Heart.49.YngAdult	0.074604602	0	W49.YngAdult	0.07	0	Heart	youngAdult	S6_Youngadult	0.869907083	S6
Heart.50.OldMid	0.031689051	0	W50.OldMid	0.03	0	Heart	olderMidAge	S7_OldMid	1.041011635	S7
