Cancer	ImmuneCT	EXTENDclass	ImmuneCTFreq	SampleSize	ExtendClassSize	Ratio	Pvalue	FDR	Significance
1	ACC	C3	Low	19	78	46	0.41304347826087	7.09380113193209e-06	5.67504090554567e-05	Sig
2	ACC	C4	High	26	78	32	0.8125	0.00822640021333859	0.0213441735265001	Sig
3	ACC	C4	Low	23	78	46	0.5	0.00822640021333859	0.0213441735265001	Sig
4	BLCA	C1	High	80	404	190	0.421052631578947	0.84044951202124	0.876990795152598	NS
5	BLCA	C1	Low	93	404	214	0.434579439252336	0.84044951202124	0.876990795152598	NS
6	BLCA	C2	High	86	404	190	0.452631578947368	0.0844222997545297	0.144723942436337	NS
7	BLCA	C2	Low	78	404	214	0.364485981308411	0.0844222997545297	0.144723942436337	NS
8	BLCA	C3	Low	19	404	214	0.088785046728972	4.21427337992627e-06	3.6779113133902e-05	Sig
9	BLCA	C4	High	16	404	190	0.0842105263157895	0.861466589803783	0.889255834636163	NS
10	BLCA	C4	Low	20	404	214	0.0934579439252336	0.861466589803783	0.889255834636163	NS
11	BRCA	C1	High	165	1090	449	0.367483296213808	0.1536487856676	0.2304731785014	NS
12	BRCA	C1	Low	208	1090	641	0.324492979719189	0.1536487856676	0.2304731785014	NS
13	BRCA	C2	High	205	1090	449	0.456570155902004	6.76861601382228e-08	1.08297856221156e-06	Sig
14	BRCA	C2	Low	189	1090	641	0.294851794071763	6.76861601382228e-08	1.08297856221156e-06	Sig
15	BRCA	C3	High	29	1090	449	0.0645879732739421	3.38607695694043e-17	1.62531693933141e-15	Sig
16	BRCA	C3	Low	162	1090	641	0.252730109204368	3.38607695694043e-17	1.62531693933141e-15	Sig
17	BRCA	C4	High	48	1090	449	0.106904231625835	0.0271003403655084	0.0591280153429274	NS
18	BRCA	C4	Low	44	1090	641	0.0686427457098284	0.0271003403655084	0.0591280153429274	NS
19	BRCA	C6	Low	38	1090	641	0.0592823712948518	1.48907810698091e-09	3.57378745675418e-08	Sig
20	CESC	C1	High	40	303	124	0.32258064516129	0.0464229263974186	0.0891320186830437	NS
21	CESC	C1	Low	39	303	179	0.217877094972067	0.0464229263974186	0.0891320186830437	NS
22	CESC	C2	High	82	303	124	0.661290322580645	0.0921454435609256	0.155192325997348	NS
23	CESC	C2	Low	135	303	179	0.754189944134078	0.0921454435609256	0.155192325997348	NS
24	CHOL	C1	Low	5	36	29	0.172413793103448	0.0561939725091778	0.101785308695869	NS
25	CHOL	C3	Low	15	36	29	0.517241379310345	0.000571113533458458	0.00261080472438152	Sig
26	CHOL	C4	Low	6	36	29	0.206896551724138	0.028291201914481	0.0603545640842261	NS
27	COAD	C1	High	113	280	142	0.795774647887324	0.393249408803101	0.496736095330233	NS
28	COAD	C1	Low	103	280	138	0.746376811594203	0.393249408803101	0.496736095330233	NS
29	COAD	C2	High	23	280	142	0.161971830985915	0.751666643750495	0.811783966818469	NS
30	COAD	C2	Low	25	280	138	0.181159420289855	0.751666643750495	0.811783966818469	NS
31	COAD	C4	High	6	280	142	0.0422535211267606	0.0296820118039831	0.0619450681126604	NS
32	ESCA	C1	High	36	183	82	0.439024390243902	0.224310428019982	0.321400016267437	NS
33	ESCA	C1	Low	35	183	101	0.346534653465347	0.224310428019982	0.321400016267437	NS
34	ESCA	C2	High	43	183	82	0.524390243902439	0.301675854845781	0.407899747397112	NS
35	ESCA	C2	Low	45	183	101	0.445544554455446	0.301675854845781	0.407899747397112	NS
36	ESCA	C3	Low	7	183	101	0.0693069306930693	0.0172965029709941	0.0404991289076935	Sig
37	GBM	C4	High	86	169	89	0.966292134831461	0.117989647220411	0.188783435552658	NS
38	GBM	C4	Low	72	169	80	0.9	0.117989647220411	0.188783435552658	NS
39	HNSC	C1	High	65	516	268	0.242537313432836	0.685609810390723	0.774335785853052	NS
40	HNSC	C1	Low	64	516	248	0.258064516129032	0.685609810390723	0.774335785853052	NS
41	HNSC	C2	High	201	516	268	0.75	0.485125804221485	0.582150965065782	NS
42	HNSC	C2	Low	179	516	248	0.721774193548387	0.485125804221485	0.582150965065782	NS
43	KICH	C3	Low	34	65	58	0.586206896551724	1.50116900681374e-07	2.05874606648741e-06	Sig
44	KICH	C4	Low	12	65	58	0.206896551724138	0.000986042838666828	0.00378640450048062	Sig
45	KICH	C5	Low	12	65	58	0.206896551724138	0.000986042838666828	0.00378640450048062	Sig
46	KIRC	C1	High	6	516	187	0.0320855614973262	0.00215098956736429	0.00737482137382042	Sig
47	KIRC	C2	High	13	516	187	0.0695187165775401	0.00863945678992915	0.0218259961008736	Sig
