Cancer	Pvalue	MeanHigh	MeanLow	FDR	Sig	LowExtendRatio	HighExtendRatio	Size
TGCT	2.52310053648636e-20	1.25978953325274	1.49065266020129	4.16311588520249e-19	Sig	0.27741935483871	0.72258064516129	1
UVM	0.745491097042924	1.37743424559579	1.37289422345848	0.745491097042924	NS	0.3125	0.6875	1
LAML	0.000612004644634282	1.22724211760256	1.27575635080381	0.0009617215844253	Sig	0.375722543352601	0.624277456647399	1
READ	0.000399493792672597	1.62263858357622	1.67539172518529	0.000659164757909785	Sig	0.422222222222222	0.577777777777778	1
THYM	3.827304915451e-06	1.34581268698983	1.41774126683898	8.4200708139922e-06	Sig	0.425	0.575	1
UCEC	0.0781017913460248	1.43854666776059	1.46160253664681	0.0954577449784747	NS	0.436781609195402	0.563218390804598	1
GBM	0.0258370511405915	1.48762635786447	1.51173016593782	0.0355259453183133	Sig	0.46242774566474	0.53757225433526	1
STAD	9.36863258240018e-15	1.66175570232673	1.72769057701807	1.03054958406402e-13	Sig	0.463840399002494	0.536159600997506	1
HNSC	4.61466677803866e-12	1.54763114308655	1.58956246334292	1.90355004594095e-11	Sig	0.48062015503876	0.51937984496124	1
LUSC	1.69499879663344e-14	1.54587400135433	1.60237213755007	1.12669822644693e-13	Sig	0.492842535787321	0.507157464212679	1
COAD	3.12665844592812e-13	1.60107725687248	1.665756294447	1.71966214526047e-12	Sig	0.492857142857143	0.507142857142857	1
SKCM	2.89644005407916e-12	1.39583407833071	1.45215326611539	1.36546459692303e-11	Sig	0.50635593220339	0.49364406779661	2
MESO	0.0358589711370973	1.58734259580573	1.62465972158136	0.0473338419009684	Sig	0.517241379310345	0.482758620689655	2
BLCA	1.34550865262564e-06	1.48744108262217	1.53773886600026	4.03652595787693e-06	Sig	0.52970297029703	0.47029702970297	2
SARC	1.81968349664313e-05	1.52899785442925	1.58112265087917	3.75309721182646e-05	Sig	0.550387596899225	0.449612403100775	2
ESCA	2.58503356074858e-06	1.5833758096787	1.64105697456726	7.10884229205859e-06	Sig	0.551912568306011	0.448087431693989	2
LUAD	3.51052361548838e-06	1.5682484501275	1.59971057575661	8.27480566507976e-06	Sig	0.5546875	0.4453125	2
DLBC	0.115139165079583	1.43484075286408	1.46997986673641	0.135699730272366	NS	0.5625	0.4375	2
BRCA	4.07169469943133e-23	1.49813447531613	1.55375305681901	1.34365925081234e-21	Sig	0.588073394495413	0.411926605504587	2
PRAD	1.7071185249196e-14	1.44952851928571	1.50033384008877	1.12669822644693e-13	Sig	0.589068825910931	0.410931174089069	2
ACC	0.408741319905663	1.46067915482065	1.47470154556552	0.435111727641513	NS	0.58974358974359	0.41025641025641	2
CESC	0.000140966906917053	1.48186967233256	1.51047106688119	0.000244837259382249	Sig	0.590759075907591	0.409240924092409	2
OV	1.15792528869618e-06	1.46117913382591	1.51485560146277	3.8211534526974e-06	Sig	0.603896103896104	0.396103896103896	3
KIRC	0.00973444453570233	1.66599450160686	1.68547846167566	0.0139668117251381	Sig	0.637596899224806	0.362403100775194	3
LIHC	4.6049223533657e-05	1.50319514213651	1.54141945100956	8.9389669212393e-05	Sig	0.648793565683646	0.351206434316354	3
PAAD	3.16208645365797e-06	1.60046741651125	1.65356448133397	8.02683484390101e-06	Sig	0.668789808917197	0.331210191082803	3
LGG	0.000116676347521862	1.32341589861631	1.36630660282319	0.000213906637123413	Sig	0.705882352941177	0.294117647058824	3
THCA	0.0479786131744553	1.4824659888771	1.46896383669785	0.0608959321060395	NS	0.708661417322835	0.291338582677165	3
PCPG	2.69105530031345e-11	1.36292598581039	1.46231428643976	9.86720276781599e-11	Sig	0.781420765027322	0.218579234972678	3
UCS	0.171239900453192	1.41499574854684	1.46334626474813	0.194859197067425	NS	0.789473684210526	0.210526315789474	3
KIRP	0.00160190460400394	1.55013994540873	1.58371080248754	0.00240285690600591	Sig	0.793706293706294	0.206293706293706	3
CHOL	0.494573650000601	1.49118610327409	1.51785528318974	0.51002907656312	NS	0.805555555555556	0.194444444444444	3
KICH	0.221968850446609	1.37705093376149	1.42248750263019	0.24416573549127	NS	0.892307692307692	0.107692307692308	3
