Cancer	Pvalue	MeanHigh	MeanLow	FDR	Sig	LowExtendRatio	HighExtendRatio	Size
TGCT	8.34743367332614e-10	1.05074764589471	1.1771793729525	2.75465311219763e-09	Sig	0.27741935483871	0.72258064516129	1
UVM	0.188400131536034	1.04328386815888	1.06801999355895	0.214386356575487	NS	0.3125	0.6875	1
LAML	0.000123500222249629	1.14529892730716	1.19607499079558	0.000214500386012514	Sig	0.375722543352601	0.624277456647399	1
READ	5.36955284463009e-07	1.02930441448204	1.13171679482083	1.10747027420496e-06	Sig	0.422222222222222	0.577777777777778	1
THYM	3.62663235273615e-06	1.03104308869529	1.11996521943178	7.03993339060547e-06	Sig	0.425	0.575	1
UCEC	0.0627781769594546	0.971346529454899	1.00361421585176	0.0828671935864801	NS	0.436781609195402	0.563218390804598	1
GBM	0.0513124458452868	1.24078177895196	1.27477086012009	0.073622204908455	NS	0.46242774566474	0.53757225433526	1
STAD	3.91381169282286e-29	1.14993731321943	1.27963593002491	6.45778929315771e-28	Sig	0.463840399002494	0.536159600997506	1
HNSC	2.74020221629574e-13	1.20131542206821	1.26794742381591	1.29180961625371e-12	Sig	0.48062015503876	0.51937984496124	1
LUSC	4.17536203547262e-22	1.14093204706611	1.22843879471597	3.44467367926491e-21	Sig	0.492842535787321	0.507157464212679	1
COAD	1.2758784560192e-14	1.02528911261676	1.12309960984398	7.01733150810559e-14	Sig	0.492857142857143	0.507142857142857	1
SKCM	2.30600987931942e-10	1.04627033898083	1.10806101345984	9.51229075219262e-10	Sig	0.50635593220339	0.49364406779661	2
MESO	0.253255404661765	1.22264624695386	1.24869779906021	0.26959446302704	NS	0.517241379310345	0.482758620689655	2
BLCA	7.77625646681413e-10	1.07355208895122	1.14465103841227	2.75465311219763e-09	Sig	0.52970297029703	0.47029702970297	2
SARC	5.58763878423181e-08	1.21413470816516	1.27280550981387	1.41840061445884e-07	Sig	0.550387596899225	0.449612403100775	2
ESCA	6.20944911265904e-09	1.15940825657145	1.24856285006335	1.70759850598124e-08	Sig	0.551912568306011	0.448087431693989	2
LUAD	8.85422667091475e-28	1.12198918652755	1.22288686618764	9.73964933800623e-27	Sig	0.5546875	0.4453125	2
DLBC	0.229259861661097	1.10921746784873	1.14405902529987	0.252185847827206	NS	0.5625	0.4375	2
BRCA	7.53004350553975e-57	1.0624576160927	1.1637687489045	2.48491435682812e-55	Sig	0.588073394495413	0.411926605504587	2
PRAD	9.18320982119787e-21	1.103813238173	1.18176305363374	6.06091848199059e-20	Sig	0.589068825910931	0.410931174089069	2
ACC	0.0781781215551907	1.06582412406912	1.09820982703951	0.0992260773585113	NS	0.58974358974359	0.41025641025641	2
CESC	0.000599505934537934	1.06593789029711	1.10585586480436	0.000942080754273897	Sig	0.590759075907591	0.409240924092409	2
OV	1.25501481411296e-07	1.00324355240231	1.06615129645422	2.95721554395547e-07	Sig	0.603896103896104	0.396103896103896	3
KIRC	0.0601182284162677	1.18638673187146	1.20339133936166	0.0826625640723681	NS	0.637596899224806	0.362403100775194	3
LIHC	5.28386595039996e-09	0.939927837695329	1.00514687785332	1.58515978511999e-08	Sig	0.648793565683646	0.351206434316354	3
PAAD	1.34418888361612e-07	1.21312837029712	1.29522408948708	2.95721554395547e-07	Sig	0.668789808917197	0.331210191082803	3
LGG	9.73842607547694e-06	1.2607093694981	1.32825821640973	1.78537811383744e-05	Sig	0.705882352941177	0.294117647058824	3
THCA	0.15724915803156	1.14405824124895	1.13267073543287	0.188738663105427	NS	0.708661417322835	0.291338582677165	3
PCPG	0.000278857519615454	1.15606702801942	1.20835370922529	0.000460114907365499	Sig	0.781420765027322	0.218579234972678	3
UCS	0.160141895968241	1.05115003759391	1.09600552070462	0.188738663105427	NS	0.789473684210526	0.210526315789474	3
KIRP	0.328181626102937	1.02297742972464	1.0387607667456	0.338437301918653	NS	0.793706293706294	0.206293706293706	3
CHOL	0.0140549230290864	1.04657559112495	1.15636022020971	0.0210823845436296	Sig	0.805555555555556	0.194444444444444	3
KICH	0.423209502250794	1.11714440182753	1.14408941872609	0.423209502250794	NS	0.892307692307692	0.107692307692308	3
