Cancer	Corr	Pval	FDR	Sig	Type
ACC	0.282717282717283	0.0123807033201345	0.0127676002988887	Sig	MAPK_ROS
BLCA	0.737785275632609	0	0	Sig	MAPK_ROS
BRCA	0.62745517662241	0	0	Sig	MAPK_ROS
CESC	0.525892607559815	0	0	Sig	MAPK_ROS
CHOL	0.666924066924067	1.49772835028881e-05	1.7043115710183e-05	Sig	MAPK_ROS
COAD	0.729851692714739	0	0	Sig	MAPK_ROS
DLBC	0.530503690838037	0.000133007962784804	0.000146308759063285	Sig	MAPK_ROS
ESCA	0.401504233471447	2.37144752278589e-08	3.13031073007737e-08	Sig	MAPK_ROS
GBM	0.380280746596308	4.93366464965455e-07	5.81467619423572e-07	Sig	MAPK_ROS
HNSC	0.62944746533857	0	0	Sig	MAPK_ROS
KICH	0.611931818181818	1.26288960047897e-07	1.54353173391875e-07	Sig	MAPK_ROS
KIRC	0.485423878927047	0	0	Sig	MAPK_ROS
KIRP	0.311850665380832	8.46634471965732e-08	1.07457452211035e-07	Sig	MAPK_ROS
LAML	0.439804664141918	2.07466009882498e-09	2.97668622874888e-09	Sig	MAPK_ROS
LGG	0.141079463434911	0.0452785766109661	0.0452785766109661	Sig	MAPK_ROS
LIHC	0.724644031316834	0	0	Sig	MAPK_ROS
LUAD	0.608440783036358	0	0	Sig	MAPK_ROS
LUSC	0.656477293426989	0	0	Sig	MAPK_ROS
MESO	0.680104979222862	0	0	Sig	MAPK_ROS
OV	0.605434028658918	0	0	Sig	MAPK_ROS
PAAD	0.681829458133578	0	0	Sig	MAPK_ROS
PCPG	0.63874507530958	0	0	Sig	MAPK_ROS
PRAD	0.734131254319148	0	0	Sig	MAPK_ROS
READ	0.72093674116146	0	0	Sig	MAPK_ROS
SARC	0.562962033869644	0	0	Sig	MAPK_ROS
SKCM	0.554693147097537	0	0	Sig	MAPK_ROS
STAD	0.572345628466148	0	0	Sig	MAPK_ROS
TGCT	0.814572524249943	0	0	Sig	MAPK_ROS
THCA	0.643677743220915	0	0	Sig	MAPK_ROS
THYM	0.691360511146607	0	0	Sig	MAPK_ROS
UCEC	0.585630570346536	0	0	Sig	MAPK_ROS
UCS	0.357272491573762	0.00664043905297217	0.00706885447574457	Sig	MAPK_ROS
UVM	0.587669948429442	1.90387240597657e-08	2.61782455821779e-08	Sig	MAPK_ROS
ACC	0.584643204896369	3.64880827364216e-08	3.88421525903842e-08	Sig	Senescence_ROS
BLCA	0.775690935512079	0	0	Sig	Senescence_ROS
BRCA	0.769289404735687	0	0	Sig	Senescence_ROS
CESC	0.486462492537159	0	0	Sig	Senescence_ROS
CHOL	0.765250965250965	4.99766058075231e-07	4.99766058075231e-07	Sig	Senescence_ROS
COAD	0.738705850839934	0	0	Sig	Senescence_ROS
DLBC	0.826964828484585	0	0	Sig	Senescence_ROS
ESCA	0.549996866996154	0	0	Sig	Senescence_ROS
GBM	0.678087027322292	0	0	Sig	Senescence_ROS
HNSC	0.491757027818672	0	0	Sig	Senescence_ROS
KICH	0.679895104895105	0	0	Sig	Senescence_ROS
KIRC	0.580426614982228	0	0	Sig	Senescence_ROS
KIRP	0.54135312697572	0	0	Sig	Senescence_ROS
LAML	0.622963320060631	0	0	Sig	Senescence_ROS
LGG	0.766834267427919	0	0	Sig	Senescence_ROS
LIHC	0.714109691836337	0	0	Sig	Senescence_ROS
LUAD	0.597368492578478	0	0	Sig	Senescence_ROS
LUSC	0.600086139329843	0	0	Sig	Senescence_ROS
MESO	0.763359335131588	0	0	Sig	Senescence_ROS
OV	0.781420342079886	0	0	Sig	Senescence_ROS
PAAD	0.603219444427217	0	0	Sig	Senescence_ROS
PCPG	0.831530550703751	0	0	Sig	Senescence_ROS
PRAD	0.773536168112874	0	0	Sig	Senescence_ROS
READ	0.756644853274067	0	0	Sig	Senescence_ROS
SARC	0.723287153383977	0	0	Sig	Senescence_ROS
SKCM	0.659718733673879	0	0	Sig	Senescence_ROS
STAD	0.627897234525626	0	0	Sig	Senescence_ROS
TGCT	0.889394476491251	0	0	Sig	Senescence_ROS
THCA	0.723338935639869	0	0	Sig	Senescence_ROS
THYM	0.709431210500729	0	0	Sig	Senescence_ROS
UCEC	0.605196047723454	0	0	Sig	Senescence_ROS
UCS	0.796214674617579	0	0	Sig	Senescence_ROS
UVM	0.57008907641819	6.19443701860942e-08	6.38801317544096e-08	Sig	Senescence_ROS
