Cancer	high_cancer	low_cancer	high_others	low_others	odds_ratio	ci_low	ci_high	p_value	fdr_p_value	significant	TotalSamples	HighExtendFrac	LowExtendFrac
ACC	32	46	3965	5218	0.915475926070087	0.563094433701177	1.47204217943524	0.731883083470711	0.75475442982917	FALSE	78	0.41025641025641	0.58974358974359
BLCA	190	214	3807	5050	1.17771200063074	0.959078179116507	1.4453903613144	0.111497645625908	0.159974882854564	FALSE	404	0.47029702970297	0.52970297029703
BRCA	449	641	3548	4623	0.912738658140362	0.800856891101916	1.03954335933745	0.171545787261744	0.235875457484898	FALSE	1090	0.411926605504587	0.588073394495413
CESC	124	179	3873	5085	0.909502655382566	0.714633386448635	1.15464679957429	0.443625721785725	0.522844600676033	FALSE	303	0.409240924092409	0.590759075907591
CHOL	7	29	3990	5235	0.316736987613469	0.116999386080507	0.739870043955857	0.00374882758419003	0.00727713589872182	TRUE	36	0.194444444444444	0.805555555555556
COAD	142	138	3855	5126	1.36817970270753	1.07055240150479	1.74894421055361	0.010061796392717	0.0166019640479831	TRUE	280	0.507142857142857	0.492857142857143
DLBC	21	27	3976	5237	1.02445800638103	0.549743021194022	1.88443577420324	1	1	FALSE	48	0.4375	0.5625
ESCA	82	101	3915	5163	1.0706739235023	0.787702316459119	1.45175107234076	0.65185643261015	0.693911686326934	FALSE	183	0.448087431693989	0.551912568306011
GBM	89	80	3908	5184	1.47565510956747	1.07545811081073	2.02766737321626	0.014874050043267	0.0223110750649005	TRUE	169	0.526627218934911	0.473372781065089
HNSC	268	248	3729	5016	1.45352642651618	1.21192484299457	1.74387702029232	3.76285770252562e-05	0.000124174304183345	TRUE	516	0.51937984496124	0.48062015503876
KICH	7	58	3990	5206	0.157494435243693	0.0605882927144437	0.346099156292361	1.83580696753421e-08	1.21163259857258e-07	TRUE	65	0.107692307692308	0.892307692307692
KIRC	187	329	3810	4935	0.736245412548385	0.608856938076226	0.888264234491159	0.00114857716307663	0.00252686975876858	TRUE	516	0.362403100775194	0.637596899224806
KIRP	59	227	3938	5037	0.332494582619401	0.244560225456374	0.446001993375065	5.94318642291918e-16	1.96125151956333e-14	TRUE	286	0.206293706293706	0.793706293706294
LAML	108	65	3889	5199	2.22104987690828	1.61293833259877	3.07883763999461	3.48369693413473e-07	1.9160333137741e-06	TRUE	173	0.624277456647399	0.375722543352601
LGG	58	144	3939	5120	0.523578854042235	0.378067281519571	0.717077134309315	2.07750614779217e-05	7.61752254190463e-05	TRUE	202	0.287128712871287	0.712871287128713
LIHC	129	242	3868	5022	0.692121132372272	0.55222620491105	0.864251853484246	0.000891164321520296	0.00210060161501213	TRUE	371	0.347708894878706	0.652291105121294
LUAD	228	284	3769	4980	1.0607405018659	0.882498771871181	1.27396322930327	0.520825886160133	0.5926639394236	FALSE	512	0.4453125	0.5546875
LUSC	248	239	3749	5025	1.39076092234964	1.15364976222282	1.67685064755367	0.000417323218506808	0.00125196965552043	TRUE	487	0.509240246406571	0.490759753593429
MESO	42	45	3955	5219	1.23158763939905	0.787477461554869	1.92275884136813	0.384418425552938	0.469844742342479	FALSE	87	0.482758620689655	0.517241379310345
OV	122	184	3875	5080	0.869254050637953	0.682995452474328	1.10312927658498	0.24115253932363	0.318321351907191	FALSE	306	0.398692810457516	0.601307189542484
PAAD	52	105	3945	5159	0.647668658361871	0.454099533324742	0.913973109573334	0.0115602258191943	0.0181660691444482	TRUE	157	0.331210191082803	0.668789808917197
PCPG	40	143	3957	5121	0.36204681121344	0.247715416756925	0.518682164480666	1.47040970497467e-09	1.21308800660411e-08	TRUE	183	0.218579234972678	0.781420765027322
PRAD	203	291	3794	4973	0.914357870671269	0.756696512622118	1.10331948393028	0.350736887503913	0.445166049524197	FALSE	494	0.410931174089069	0.589068825910931
READ	52	38	3945	5226	1.81261429982145	1.16763399968677	2.83688723512125	0.00535500215015054	0.00978852884557168	TRUE	90	0.577777777777778	0.422222222222222
SARC	116	142	3881	5122	1.07810692416588	0.833143221977934	1.39280000531855	0.566526291215375	0.623178920336913	FALSE	258	0.449612403100775	0.550387596899225
SKCM	233	239	3764	5025	1.30145077740987	1.07642807747617	1.57340801283735	0.00563581963835945	0.00978852884557168	TRUE	472	0.49364406779661	0.50635593220339
STAD	215	186	3782	5078	1.55191201641987	1.26348682838974	1.90763685027117	1.7959874727826e-05	7.40844832522822e-05	TRUE	401	0.536159600997506	0.463840399002494
TGCT	112	43	3885	5221	3.49989045331425	2.43526537743439	5.11063810810617	2.35375553094296e-13	3.88369662605588e-12	TRUE	155	0.72258064516129	0.27741935483871
THCA	148	360	3849	4904	0.523831366882863	0.427602185306394	0.639164955015479	2.49780353658671e-11	2.74758389024538e-10	TRUE	508	0.291338582677165	0.708661417322835
THYM	69	51	3928	5213	1.79538961322053	1.22901333272021	2.63789776052593	0.00156364842894716	0.00322502488470352	TRUE	120	0.575	0.425
UCEC	98	76	3899	5188	1.71563409716241	1.25475026168692	2.3535943810791	0.000480501955504999	0.00132138037763875	TRUE	174	0.563218390804598	0.436781609195402
UCS	12	45	3985	5219	0.349286692012039	0.167939826119984	0.672467952638402	0.000667868516533833	0.0016953585419705	TRUE	57	0.210526315789474	0.789473684210526
UVM	55	25	3942	5239	2.92351771429605	1.78767591349902	4.90493980267414	4.02484643160023e-06	1.89742760346868e-05	TRUE	80	0.6875	0.3125
