Cancer	Female_High	Female_Low	Male_High	Male_Low	Female_ratio_High	Female_ratio_Low	Male_ratio_High	Male_ratio_Low	odds_ratio	ci_low	ci_high	p_value	fdr_p_value	significance	Extend_High	Extend_Low
ACC	16	31	16	15	0.5	0.673913043478261	0.5	0.326086956521739	2.0469213469485	0.739626893290889	5.7798032507067	0.159712240838011	0.519064782723536	NS	32	46
BLCA	49	57	141	157	0.257894736842105	0.266355140186916	0.742105263157895	0.733644859813084	1.04462082675591	0.654105546039291	1.67208541209945	0.909900594887823	0.946296618683336	NS	190	214
CHOL	2	18	5	11	0.285714285714286	0.620689655172414	0.714285714285714	0.379310344827586	3.92894575587413	0.529903578254936	48.0366990776183	0.203553562187338	0.5362756850251	NS	7	29
COAD	64	61	77	76	0.453900709219858	0.445255474452555	0.546099290780142	0.554744525547445	0.965771356799125	0.585532080085903	1.59230928553207	0.904497899304056	0.946296618683336	NS	142	138
DLBC	13	13	8	14	0.619047619047619	0.481481481481481	0.380952380952381	0.518518518518518	0.57817965441091	0.152045681115244	2.10261230243086	0.39289476660757	0.691128082651056	NS	21	27
ESCA	11	14	71	87	0.134146341463415	0.138613861386139	0.865853658536585	0.861386138613861	1.038456108957	0.408959637838572	2.69866316316825	1	1	NS	82	101
GBM	29	30	60	49	0.325842696629214	0.379746835443038	0.674157303370786	0.620253164556962	1.26491395599588	0.639125474287834	2.5096407611494	0.518608098141526	0.793165326569393	NS	89	80
HNSC	57	78	211	170	0.212686567164179	0.314516129032258	0.787313432835821	0.685483870967742	1.69665339656954	1.12098891022557	2.57932344238727	0.00923366326331775	0.0800250816154205	Sig	268	248
KICH	2	25	5	33	0.285714285714286	0.431034482758621	0.714285714285714	0.568965517241379	1.87645886445205	0.278407922387631	21.2405097687474	0.689871010316486	0.914967019998094	NS	7	58
KIRC	65	120	122	209	0.347593582887701	0.364741641337386	0.6524064171123	0.635258358662614	1.07747228184798	0.728572309745727	1.59964558115749	0.703820784613919	0.914967019998094	NS	187	329
KIRP	20	53	39	174	0.338983050847458	0.233480176211454	0.661016949152542	0.766519823788546	0.595157291384452	0.307728566274749	1.17356308069379	0.130463352376975	0.519064782723536	NS	59	227
LAML	39	41	69	24	0.361111111111111	0.630769230769231	0.638888888888889	0.369230769230769	3.00193733983579	1.52288982240233	6.03058578557309	0.000881517080641932	0.0229194440966902	Sig	108	65
LGG	26	62	32	82	0.448275862068966	0.430555555555556	0.551724137931034	0.569444444444444	0.93091426985037	0.482240248525127	1.80632483464774	0.875830286145661	0.946296618683336	NS	58	144
LIHC	37	84	92	158	0.286821705426357	0.347107438016529	0.713178294573643	0.652892561983471	1.32094446548473	0.812399102485695	2.17114620365808	0.247511854626969	0.5362756850251	NS	129	242
LUAD	106	168	122	116	0.464912280701754	0.591549295774648	0.535087719298246	0.408450704225352	1.66523487612823	1.15467836911428	2.40653258602264	0.00443793761350415	0.0576931889755539	Sig	228	284
LUSC	58	70	190	169	0.233870967741935	0.292887029288703	0.766129032258065	0.707112970711297	1.35599865502982	0.887070523315101	2.07852500498514	0.150144708217112	0.519064782723536	NS	248	239
MESO	7	9	35	36	0.166666666666667	0.2	0.833333333333333	0.8	1.24680328738789	0.366630218236611	4.411823975471	0.785212042215143	0.946296618683336	NS	42	45
PAAD	20	52	32	53	0.384615384615385	0.495238095238095	0.615384615384615	0.504761904761905	1.56528759949006	0.758019229686597	3.28551602658237	0.234166672837013	0.5362756850251	NS	52	105
PCPG	25	77	15	66	0.625	0.538461538461538	0.375	0.461538461538462	0.701354360358119	0.315571414521181	1.51678562574146	0.371241707649402	0.691128082651056	NS	40	143
READ	22	20	29	18	0.431372549019608	0.526315789473684	0.568627450980392	0.473684210526316	1.45830022597688	0.579475893158472	3.70836505776043	0.398727739990994	0.691128082651056	NS	52	38
SARC	68	72	48	70	0.586206896551724	0.507042253521127	0.413793103448276	0.492957746478873	0.726965273661173	0.429286802321618	1.22627318272096	0.211873858961408	0.5362756850251	NS	116	142
SKCM	77	103	156	136	0.330472103004292	0.430962343096234	0.669527896995708	0.569037656903766	1.53294381732048	1.03747657783748	2.27112340230155	0.029203161796367	0.189820551676385	Sig	233	239
STAD	83	54	132	132	0.386046511627907	0.290322580645161	0.613953488372093	0.709677419354839	0.651311626734627	0.417986461531514	1.00979787434494	0.0456418054772546	0.237337388481724	Sig	215	186
THCA	104	266	44	94	0.702702702702703	0.738888888888889	0.297297297297297	0.261111111111111	1.19676745965184	0.762680072647141	1.86277235892973	0.442497353417618	0.71905819930363	NS	148	360
THYM	31	26	38	25	0.449275362318841	0.509803921568627	0.550724637681159	0.490196078431373	1.27224028929681	0.579514477635492	2.80545398421894	0.580595290535394	0.838637641884459	NS	69	51
UVM	25	10	30	15	0.454545454545455	0.4	0.545454545454545	0.6	0.802228063554736	0.270566628705421	2.30616103438573	0.808419338757429	0.946296618683336	NS	55	25
