Cancer	Adult_High	Adult_Low	OA_High	OA_Low	Adult_ratio_High	Adult_ratio_Low	OA_ratio_High	OA_ratio_Low	odds_ratio	ci_low	ci_high	p_value	fdr_p_value	significance	Extend_High	Extend_Low
ACC	15	22	14	24	0.517241379310345	0.478260869565217	0.482758620689655	0.521739130434783	0.857341609173668	0.304609032092879	2.39872768689933	0.814707725747356	0.900654176421809	NS	32	46
BLCA	14	10	176	204	0.0736842105263158	0.0467289719626168	0.926315789473684	0.953271028037383	0.616993154477523	0.238748394136185	1.53626561640334	0.294787441900796	0.727485661624673	NS	190	214
BRCA	134	199	315	440	0.298440979955457	0.311424100156495	0.701559020044543	0.688575899843505	1.06314702229387	0.811163702414578	1.39546142379785	0.688585345168015	0.900654176421809	NS	449	641
CESC	79	106	45	73	0.637096774193548	0.592178770949721	0.362903225806452	0.407821229050279	0.827639322149706	0.500936283083196	1.36085600833595	0.472979799918176	0.780416669864991	NS	124	179
COAD	20	25	121	112	0.141843971631206	0.182481751824818	0.858156028368794	0.817518248175182	1.3489773403566	0.677297009766385	2.71618604927945	0.416468027257653	0.727485661624673	NS	142	138
DLBC	6	8	15	19	0.285714285714286	0.296296296296296	0.714285714285714	0.703703703703704	1.05152918761857	0.253298818146572	4.55694524536192	1	1	NS	21	27
ESCA	15	13	67	88	0.182926829268293	0.128712871287129	0.817073170731707	0.871287128712871	0.661380550494555	0.269462835832129	1.60311670831469	0.409260764870024	0.727485661624673	NS	82	101
GBM	15	26	74	53	0.168539325842697	0.329113924050633	0.831460674157303	0.670886075949367	2.40718092382939	1.10599636449886	5.39925219426328	0.0193352561000853	0.106917514373579	Sig	89	80
HNSC	47	46	221	201	0.175373134328358	0.186234817813765	0.824626865671642	0.813765182186235	1.07594366318282	0.669062000356087	1.72969636629359	0.818781680921953	0.900654176421809	NS	268	248
KICH	2	31	5	26	0.285714285714286	0.543859649122807	0.714285714285714	0.456140350877193	2.93188677940579	0.435370393823951	33.2167899555056	0.249907381680096	0.727485661624673	NS	7	58
KIRC	39	72	148	257	0.20855614973262	0.218844984802432	0.79144385026738	0.781155015197568	1.06304365462678	0.672057139864729	1.69863393378357	0.824227687407726	0.900654176421809	NS	187	329
KIRP	10	38	47	188	0.175438596491228	0.168141592920354	0.824561403508772	0.831858407079646	0.950170440851286	0.425074853832061	2.29715879895594	0.846069074820487	0.900654176421809	NS	59	227
LAML	36	19	71	46	0.336448598130841	0.292307692307692	0.663551401869159	0.707692307692308	0.81557882949416	0.391783553043213	1.66526313441729	0.614546213983391	0.892959770044239	NS	108	65
LGG	37	114	21	28	0.637931034482759	0.802816901408451	0.362068965517241	0.197183098591549	2.30021338878007	1.10283551904752	4.77768200886415	0.0183717198308918	0.106917514373579	Sig	58	144
LIHC	33	42	95	197	0.2578125	0.175732217573222	0.7421875	0.824267782426778	0.614580304759776	0.354953735635076	1.06923700689292	0.0771553531362212	0.282902961499478	NS	129	242
LUAD	23	14	195	261	0.105504587155963	0.0509090909090909	0.894495412844037	0.949090909090909	0.455502321375385	0.210876375743371	0.951036245309797	0.0254569996597423	0.1200115698245	Sig	228	284
LUSC	9	10	235	224	0.0368852459016393	0.0427350427350427	0.963114754098361	0.957264957264957	1.16529937165754	0.416888732732498	3.30712502315648	0.817234446680141	0.900654176421809	NS	248	239
OV	39	33	83	151	0.319672131147541	0.179347826086957	0.680327868852459	0.820652173913043	0.466319764721231	0.262606217817161	0.823229882975813	0.00581912409958834	0.0640103650954717	Sig	122	184
PAAD	6	16	46	89	0.115384615384615	0.152380952380952	0.884615384615385	0.847619047619048	1.37557753736794	0.470858267761028	4.59010862970727	0.630005656086159	0.892959770044239	NS	52	105
PCPG	25	83	15	60	0.625	0.58041958041958	0.375	0.41958041958042	0.830838481635251	0.373263455754369	1.80066013322366	0.716825960964531	0.900654176421809	NS	40	143
PRAD	11	23	192	268	0.0541871921182266	0.0790378006872852	0.945812807881773	0.920962199312715	1.49678413956192	0.681654892985131	3.4864097408293	0.366819677607862	0.727485661624673	NS	203	291
READ	12	5	39	33	0.235294117647059	0.131578947368421	0.764705882352941	0.868421052631579	0.496216701740983	0.123750524196345	1.71029276427198	0.280516684854725	0.727485661624673	NS	52	38
SARC	27	29	89	113	0.232758620689655	0.204225352112676	0.767241379310345	0.795774647887324	0.846506795074992	0.447883486426347	1.60298967854371	0.649425287304901	0.892959770044239	NS	116	142
SKCM	65	74	164	158	0.283842794759825	0.318965517241379	0.716157205240175	0.681034482758621	1.18126274671109	0.778000793595226	1.79635137295858	0.418855380935418	0.727485661624673	NS	233	239
STAD	14	19	197	167	0.0663507109004739	0.102150537634409	0.933649289099526	0.897849462365591	1.59901689332608	0.734596804088833	3.56103900515813	0.207704131577894	0.68542363420705	NS	215	186
THCA	64	223	80	135	0.444444444444444	0.622905027932961	0.555555555555556	0.377094972067039	2.06175552541228	1.36876031649879	3.1164100201715	0.000320104904760184	0.00528173092854304	Sig	148	360
THYM	28	5	40	45	0.411764705882353	0.1	0.588235294117647	0.9	0.161101695820179	0.0443022712097831	0.477040395732737	0.000165653630707335	0.00528173092854304	Sig	69	51
UVM	8	10	47	15	0.145454545454545	0.4	0.854545454545454	0.6	3.8398352780025	1.13499142605999	13.5612804392288	0.0194395480679234	0.106917514373579	Sig	55	25
