Cancer	LowStage_Low	LowStage_High	HighStage_Low	HighStage_High	LowStage_ratio_Low	LowStage_ratio_High	HighStage_ratio_Low	HighStage_ratio_High	odds_ratio	ci_low	ci_high	p_value	significance	Extend_High	Extend_Low
ACC	33	13	12	18	0.733333333333333	0.419354838709677	0.266666666666667	0.580645161290323	3.73534257686616	1.29838561844534	11.2887816765871	0.00857755026232183	Sig	32	46
BLCA	69	61	145	127	0.322429906542056	0.324468085106383	0.677570093457944	0.675531914893617	0.990750964049798	0.63796098855229	1.54031116475896	1	NS	190	214
BRCA	467	330	160	108	0.74481658692185	0.753424657534247	0.25518341307815	0.246575342465753	0.955256044139569	0.712575154764654	1.2777848358846	0.774381468078355	NS	449	641
CHOL	22	6	7	1	0.758620689655172	0.857142857142857	0.241379310344828	0.142857142857143	0.532209456817837	0.00998690994985975	5.74832845707755	1	NS	7	29
COAD	69	83	62	54	0.526717557251908	0.605839416058394	0.473282442748092	0.394160583941606	0.724947171306064	0.433092936066894	1.21002464422626	0.217997280581637	NS	142	138
ESCA	53	41	34	31	0.609195402298851	0.569444444444444	0.390804597701149	0.430555555555556	1.17739680840033	0.594458067614337	2.33344896269231	0.630311411137027	NS	82	101
HNSC	52	45	170	175	0.234234234234234	0.204545454545455	0.765765765765766	0.795454545454545	1.18907245687154	0.738860849171366	1.91894561534592	0.491153585520043	NS	268	248
KICH	41	4	17	3	0.706896551724138	0.571428571428571	0.293103448275862	0.428571428571429	1.79114723174698	0.236922194911993	11.8693953232527	0.666565128375197	NS	7	58
KIRC	210	97	118	88	0.640243902439024	0.524324324324324	0.359756097560976	0.475675675675676	1.61304735566315	1.10022864763429	2.36664491653976	0.0113755229113293	Sig	187	329
KIRP	170	21	36	29	0.825242718446602	0.42	0.174757281553398	0.58	6.45837377559084	3.17059842042157	13.4130323556608	2.9027966284152e-08	Sig	59	227
LIHC	174	84	53	37	0.766519823788546	0.694214876033058	0.233480176211454	0.305785123966942	1.44457922845425	0.852575242292363	2.434925574042	0.158078525211366	NS	129	242
LUAD	227	168	51	58	0.816546762589928	0.743362831858407	0.183453237410072	0.256637168141593	1.53528442655756	0.981347757129067	2.40811992514944	0.0507233371152172	Sig	228	284
LUSC	201	193	37	52	0.84453781512605	0.787755102040816	0.15546218487395	0.212244897959184	1.46249460835375	0.896513809444124	2.40410106885024	0.126948395792356	NS	248	239
MESO	11	15	34	27	0.244444444444444	0.357142857142857	0.755555555555556	0.642857142857143	0.586034472431118	0.206045558791165	1.62176277164467	0.348838547894308	NS	42	45
PAAD	98	49	6	2	0.942307692307692	0.96078431372549	0.0576923076923077	0.0392156862745098	0.668293901077804	0.0637213214203114	3.91625629530597	1	NS	52	105
READ	16	22	19	25	0.457142857142857	0.468085106382979	0.542857142857143	0.531914893617021	0.957429733651431	0.362622974971039	2.51599539882212	1	NS	52	38
SKCM	103	115	108	87	0.488151658767773	0.569306930693069	0.511848341232227	0.430693069306931	0.722083522025019	0.480403422925913	1.08328595277698	0.114695045539727	NS	233	239
STAD	75	100	96	105	0.43859649122807	0.48780487804878	0.56140350877193	0.51219512195122	0.820749879884094	0.53435504839441	1.25857486005327	0.351928399617597	NS	215	186
TGCT	12	55	3	11	0.8	0.833333333333333	0.2	0.166666666666667	0.802308565987141	0.172176402438823	5.15401066761028	0.716499972215634	NS	112	43
THCA	255	83	103	65	0.712290502793296	0.560810810810811	0.287709497206704	0.439189189189189	1.93617407469194	1.27574392170208	2.93716749880067	0.00127292124818531	Sig	148	360
UVM	10	29	14	26	0.416666666666667	0.527272727272727	0.583333333333333	0.472727272727273	0.644040680903831	0.214958889321279	1.87129996071657	0.464677635801314	NS	55	25
