Cancer	beta	HR	LowerInterval	UpperInterval	HR (95% CI for HR)	logrank.test	p.value
ACC	-1.4	0.24	0.11	0.54	0.24 (0.11-0.54)	13	0.00032
BLCA	0.07	1.1	0.8	1.4	1.1 (0.8-1.4)	0.22	0.64
BRCA	-0.068	0.93	0.68	1.3	0.93 (0.68-1.3)	0.17	0.68
CESC	-0.046	0.96	0.6	1.5	0.96 (0.6-1.5)	0.037	0.85
CHOL	-0.73	0.48	0.18	1.3	0.48 (0.18-1.3)	1.9	0.17
COAD	0.2	1.2	0.75	2	1.2 (0.75-2)	0.64	0.42
DLBC	0.37	1.5	0.28	7.6	1.5 (0.28-7.6)	0.2	0.65
ESCA	0.081	1.1	0.69	1.7	1.1 (0.69-1.7)	0.12	0.72
GBM	-0.11	0.9	0.64	1.3	0.9 (0.64-1.3)	0.37	0.54
HNSC	0.21	1.2	0.95	1.6	1.2 (0.95-1.6)	2.4	0.12
KICH	-1.5	0.21	0.053	0.86	0.21 (0.053-0.86)	3.8	0.052
KIRC	-0.35	0.7	0.52	0.96	0.7 (0.52-0.96)	4.9	0.027
KIRP	-1	0.36	0.19	0.67	0.36 (0.19-0.67)	9.6	0.002
LAML	-0.11	0.9	0.6	1.3	0.9 (0.6-1.3)	0.28	0.59
LGG	-0.092	0.91	0.48	1.7	0.91 (0.48-1.7)	0.08	0.78
LIHC	-0.28	0.76	0.53	1.1	0.76 (0.53-1.1)	2.4	0.12
LUAD	-0.2	0.82	0.61	1.1	0.82 (0.61-1.1)	1.9	0.17
LUSC	0.26	1.3	0.99	1.7	1.3 (0.99-1.7)	3.5	0.062
MESO	-1	0.36	0.23	0.59	0.36 (0.23-0.59)	17	4.5e-05
OV	0.05	1.1	0.78	1.4	1.1 (0.78-1.4)	0.11	0.74
PAAD	-0.5	0.61	0.39	0.94	0.61 (0.39-0.94)	4.8	0.029
PCPG	-1.6	0.21	0.047	0.97	0.21 (0.047-0.97)	3.9	0.047
PRAD	-1.7	0.18	0.037	0.84	0.18 (0.037-0.84)	6.1	0.014
READ	-0.13	0.88	0.29	2.7	0.88 (0.29-2.7)	0.051	0.82
SARC	-0.64	0.53	0.35	0.79	0.53 (0.35-0.79)	9.7	0.0018
SKCM	-0.25	0.78	0.6	1	0.78 (0.6-1)	3.2	0.073
STAD	0.4	1.5	1.1	2.1	1.5 (1.1-2.1)	6	0.014
TGCT	0.079	1.1	0.11	10	1.1 (0.11-10)	0.0046	0.95
THCA	-1.4	0.24	0.089	0.67	0.24 (0.089-0.67)	7.7	0.0054
THYM	2.2	9.1	1.8	46	9.1 (1.8-46)	8.8	0.0029
UCEC	-0.093	0.91	0.46	1.8	0.91 (0.46-1.8)	0.07	0.79
UCS	0.034	1	0.42	2.5	1 (0.42-2.5)	0.0055	0.94
UVM	-0.62	0.54	0.2	1.5	0.54 (0.2-1.5)	1.6	0.2
