Cancer	doubled_High	doubled_Low	not_doubled_High	not_doubled_Low	odds_ratio	ci_low	ci_high	p_value	fdr_p_value	significant
ACC	19	15	10	28	0.287301968258097	0.0926481693597224	0.841506102751347	0.0159065033643277	0.0583238456692015	FALSE
BLCA	106	92	59	96	0.534368084684182	0.339673187158194	0.836462994211404	0.00512397737071231	0.0338182506467013	TRUE
BRCA	220	187	176	410	0.365241797745337	0.27805684291623	0.478846978942681	4.12155830906031e-14	1.3601142419899e-12	TRUE
CESC	29	56	81	112	1.39488586226191	0.796333528869167	2.47591819655511	0.233293793427586	0.481168448944395	FALSE
CHOL	3	5	4	24	0.290243931976599	0.0346631541937926	2.59867187418346	0.167457305502846	0.368406072106262	FALSE
COAD	52	52	85	78	1.08939195282515	0.646549860814543	1.83658073937819	0.801926611753686	0.921712097466082	FALSE
DLBC	3	1	15	23	0.225335427513263	0.00397838852840432	3.10802178858313	0.297239346019834	0.490444920932726	FALSE
ESCA	37	47	33	36	1.16325032832482	0.584689823579645	2.31786892368777	0.744518876596791	0.909967515840522	FALSE
GBM	10	17	72	58	2.10031363045525	0.83400653671126	5.55355228651789	0.0936576499385905	0.220764460569535	FALSE
HNSC	90	89	162	144	1.11225388394299	0.756052038311352	1.63665513999033	0.573741769384863	0.788894932904186	FALSE
KICH	3	7	4	51	0.190331968934547	0.0255627196395308	1.56750999432234	0.0672543448448942	0.170722567683193	FALSE
KIRC	30	51	143	249	0.976341831413098	0.58009576734181	1.66488322922541	1	1	FALSE
KIRP	8	9	51	212	0.272293527355523	0.088312687743774	0.854058651753584	0.0122923294819804	0.0507058591131691	FALSE
LAML	3	1	65	40	0.544451971169165	0.0100750542954787	7.04856775072094	1	1	FALSE
LGG	14	44	44	99	1.39457033514168	0.666145699164765	3.04854543763617	0.393432484294801	0.615912490230704	FALSE
LIHC	42	58	68	165	0.570111774168088	0.340322941107117	0.956869781141283	0.0303782254916579	0.0911346764749738	FALSE
LUAD	140	99	53	152	0.247410302136287	0.160895683493554	0.376717094487599	3.16002803473092e-12	5.21404625730602e-11	TRUE
LUSC	138	92	89	130	0.457228276111212	0.307422009218004	0.677288199691705	4.78026478971843e-05	0.000525829126869027	TRUE
MESO	10	5	31	35	0.44728402341917	0.107644183998016	1.62758917286767	0.25287960316101	0.490444920932726	FALSE
OV	57	79	45	73	0.854893787882565	0.499857967498355	1.45797091445855	0.608038080302467	0.802610265999256	FALSE
PAAD	14	18	36	75	0.61929096522377	0.257462155665691	1.50795106843027	0.293341235065032	0.490444920932726	FALSE
PCPG	7	23	29	106	0.899521928148166	0.330389637305027	2.73359129256475	0.809989418985345	0.921712097466082	FALSE
PRAD	24	15	173	259	0.418263508067233	0.197967862169638	0.857760556059733	0.0108899684355101	0.0507058591131691	FALSE
READ	25	17	24	18	0.907726092598045	0.348129990672857	2.35833002660037	1	1	FALSE
SARC	50	54	52	76	0.739930098571438	0.424153351318787	1.2877149994567	0.288182664373316	0.490444920932726	FALSE
SKCM	95	71	123	157	0.586216909023498	0.389827172237248	0.878695938798582	0.00809034263534878	0.0444968844944183	TRUE
STAD	70	45	111	123	0.581061993747138	0.35845824856614	0.935562364463784	0.0225116694417286	0.0742885091577043	FALSE
TGCT	98	37	1	6	0.0642240526214208	0.00136018125970001	0.556424454192202	0.00319848120383623	0.0263874699316489	TRUE
THCA	2	10	137	320	2.13770800189786	0.44696145899459	20.3198194588953	0.522993395195463	0.750381827889142	FALSE
THYM	2	8	50	42	4.69563581341385	0.871475474182282	47.7462833162289	0.0493984593530503	0.135845763220888	FALSE
UCEC	34	22	59	53	0.721721438799829	0.354524290124744	1.45001115734007	0.410608326820469	0.615912490230704	FALSE
UCS	10	28	1	8	0.356470663641796	0.00718520194171356	3.28490074749417	0.66306631337592	0.84158416697713	FALSE
UVM	4	1	51	24	0.534979940885633	0.0103666448874856	5.79706150842491	1	1	FALSE
