Cancer	EXTENDclass	Fusions	ExtendClassTotal	FusionFreq	Pval	Significance
ACC	High	173	32	5.40625	0.0119934681740165	*
ACC	Low	88	46	1.91304347826087	0.0119934681740165	*
BLCA	High	698	190	3.67368421052632	0.0527967074128249	
BLCA	Low	582	214	2.7196261682243	0.0527967074128249	
BRCA	High	2991	449	6.66146993318486	2.7380242693294e-09	***
BRCA	Low	2360	641	3.6817472698908	2.7380242693294e-09	***
CESC	High	183	124	1.4758064516129	0.301068740840623	
CESC	Low	270	179	1.50837988826816	0.301068740840623	
CHOL	High	17	7	2.42857142857143	0.987598009308488	
CHOL	Low	60	29	2.06896551724138	0.987598009308488	
COAD	High	162	142	1.14084507042254	0.269451590809381	
COAD	Low	163	138	1.18115942028985	0.269451590809381	
DLBC	High	22	21	1.04761904761905	1	
DLBC	Low	26	27	0.962962962962963	1	
ESCA	High	309	82	3.76829268292683	0.475204202469338	
ESCA	Low	260	101	2.57425742574257	0.475204202469338	
GBM	High	253	89	2.84269662921348	0.501391176736014	
GBM	Low	213	80	2.6625	0.501391176736014	
HNSC	High	450	268	1.67910447761194	0.249473818293047	
HNSC	Low	390	248	1.57258064516129	0.249473818293047	
KICH	High	14	7	2	0.593678808109736	
KICH	Low	15	58	0.258620689655172	0.593678808109736	
KIRC	High	160	187	0.855614973262032	0.0218036494166308	*
KIRC	Low	129	329	0.39209726443769	0.0218036494166308	*
KIRP	High	77	59	1.30508474576271	0.961951639223091	
KIRP	Low	110	227	0.484581497797357	0.961951639223091	
LAML	High	73	108	0.675925925925926	0.789878088282049	
LAML	Low	55	65	0.846153846153846	0.789878088282049	
LGG	High	56	58	0.96551724137931	0.481101520422491	
LGG	Low	181	144	1.25694444444444	0.481101520422491	
LIHC	High	362	129	2.8062015503876	0.240123634646513	
LIHC	Low	481	242	1.98760330578512	0.240123634646513	
LUAD	High	850	228	3.7280701754386	0.000369801413905826	**
LUAD	Low	638	284	2.24647887323944	0.000369801413905826	**
LUSC	High	840	248	3.38709677419355	0.116141394463081	
LUSC	Low	675	239	2.82426778242678	0.116141394463081	
MESO	High	82	42	1.95238095238095	0.718479826140252	
MESO	Low	77	45	1.71111111111111	0.718479826140252	
OV	High	618	122	5.0655737704918	0.0351687816356243	*
OV	Low	758	184	4.1195652173913	0.0351687816356243	*
PAAD	High	63	52	1.21153846153846	0.361429184993987	
PAAD	Low	120	105	1.14285714285714	0.361429184993987	
PCPG	High	39	40	0.975	0.445377368491408	
PCPG	Low	112	143	0.783216783216783	0.445377368491408	
PRAD	High	1003	203	4.94088669950739	6.94533342894272e-06	***
PRAD	Low	889	291	3.05498281786942	6.94533342894272e-06	***
READ	High	96	52	1.84615384615385	0.0432585892415504	*
READ	Low	55	38	1.44736842105263	0.0432585892415504	*
SARC	High	970	116	8.36206896551724	0.813273575589389	
SARC	Low	1247	142	8.78169014084507	0.813273575589389	
SKCM	High	682	233	2.92703862660944	0.655797970478355	
SKCM	Low	661	239	2.76569037656904	0.655797970478355	
STAD	High	557	215	2.5906976744186	0.302887522566381	
STAD	Low	345	186	1.85483870967742	0.302887522566381	
TGCT	High	68	112	0.607142857142857	0.662268712878161	
TGCT	Low	19	43	0.441860465116279	0.662268712878161	
THCA	High	44	148	0.297297297297297	0.89310648947834	
THCA	Low	141	360	0.391666666666667	0.89310648947834	
THYM	High	16	69	0.231884057971014	0.395572340406278	
THYM	Low	39	51	0.764705882352941	0.395572340406278	
UCEC	High	486	98	4.95918367346939	0.87467365924114	
UCEC	Low	278	76	3.65789473684211	0.87467365924114	
UCS	High	71	12	5.91666666666667	0.405624906588984	
UCS	Low	324	45	7.2	0.405624906588984	
UVM	High	20	55	0.363636363636364	0.353009348226194	
UVM	Low	7	25	0.28	0.353009348226194	
