SampleID	EXTENDScores	Mechanism	SenescenceScores
GSM3403009	0.563196451	MYCN_Amp	0.086443167
GSM3403117	0.522668928	MYCN_Amp	0.205271674
GSM3402985	0.658938644	MYCN_Amp	-0.058985392
GSM3403017	0.719854713	MYCN_Amp	0.247231226
GSM3403007	0.509115511	MYCN_Amp	0.227507717
GSM3403053	0.865694863	MYCN_Amp	-0.366831
GSM3403106	0.688172435	MYCN_Amp	-0.003519778
GSM3403025	0.54269906	MYCN_Amp	-0.027664705
GSM3403130	0.494140385	MYCN_Amp	0.340698812
GSM3403035	0.709302611	MYCN_Amp	-0.173133289
GSM3403001	0.867937577	MYCN_Amp	-0.05609739
GSM3403028	0.575344326	MYCN_Amp	-0.260791945
GSM3403126	0.683827845	MYCN_Amp	-0.236395451
GSM3403002	0.564314603	MYCN_Amp	-0.023607541
GSM3403155	0.44693061	MYCN_Amp	-0.076330692
GSM3403124	0.635027308	MYCN_Amp	0.035020319
GSM3403177	0.476655882	MYCN_Amp	-0.176059032
GSM3403096	0.583241769	MYCN_Amp	0.208281842
GSM3403150	0.842110426	TERT_Rearrangement	-0.175794571
GSM3403065	0.395841503	MYCN_Amp	0.251105119
GSM3403154	0.725931613	MYCN_Amp	-0.118106966
GSM3403168	0.67586682	MYCN_Amp	0.153441889
GSM3403171	0.262512866	TERT_High	0.254888674
GSM3403127	0.42869706	MYCN_Amp	0.419927056
GSM3403112	0.576473972	MYCN_Amp	0.231294789
GSM3403062	0.204786213	TERT_High	0.018413929
GSM3403047	0.436479928	TERT_Rearrangement	0.309440733
GSM3403012	0.54853975	MYCN_Amp	0.213833781
GSM3403063	0.61341549	MYCN_Amp	0.212999855
GSM3403027	0.710204216	MYCN_Amp	-0.079518369
GSM3402987	0.628241645	MYCN_Amp	-0.061229811
GSM3403101	0.899118711	MYCN_Amp	-0.167142355
GSM3403011	0.525048972	TERT_Rearrangement	0.335209208
GSM3403052	0.671302107	MYCN_Amp	-0.062810287
GSM3403120	0.931323365	MYCN_Amp	-0.333763812
GSM3403120	0.931323365	TERT_Rearrangement	-0.333763812
GSM3403103	0.733909213	TERT_Rearrangement	0.275871259
GSM3403132	0.783468532	MYCN_Amp	-0.375253193
GSM3403090	0.63880504	MYCN_Amp	-0.19292835
GSM3403173	0.868327053	MYCN_Amp	-0.087483647
GSM3403046	0.795772983	MYCN_Amp	0.06648612
GSM3403069	0.696336345	MYCN_Amp	-0.11942484
GSM3403046	0.795772983	TERT_Rearrangement	0.06648612
GSM3403176	0.557551512	MYCN_Amp	0.035646174
GSM3403086	0.778338668	MYCN_Amp	0.129503004
GSM3403086	0.778338668	TERT_Rearrangement	0.129503004
GSM3403142	0.524208538	TERT_High	0.374858404
GSM3403164	0.797938644	MYCN_Amp	0.125480818
GSM3403084	0.908877323	TERT_High	-0.119149364
GSM3403064	0.59286763	MYCN_Amp	0.137011787
GSM3403118	0.732590048	TERT_Rearrangement	0.315260828
GSM3403149	0.503329958	TERT_Rearrangement	0.289719698
GSM3403147	0.598565076	TERT_High	0.24923785
GSM3403167	0.65372468	TERT_Rearrangement	-0.110567733
GSM3403153	0.699208035	MYCN_Amp	-0.264225452
GSM3403005	0.463742859	TERT_High	0.079831189
GSM3403068	0.809198328	MYCN_Amp	-0.265606132
GSM3403023	0.865663613	TERT_Rearrangement	0.051341822
GSM3403165	0.675933824	MYCN_Amp	-0.130387093
GSM3403144	0.674051704	TERT_High	-0.043495583
GSM3403161	1	TERT_Rearrangement	-0.053530629
GSM3403051	0.736445476	MYCN_Amp	-0.167967103
GSM3403049	0.680126251	TERT_Rearrangement	-0.140055715
GSM3403059	0.656211554	MYCN_Amp	0.307245845
GSM3402983	0.516317371	TERT_Rearrangement	0.081916658
GSM3403135	0.589538236	TERT_Rearrangement	0.109453346
GSM3402999	0.777809383	MYCN_Amp	0.118030629
GSM3403152	0.757598398	MYCN_Amp	0.005054297
GSM3403020	0.723503396	MYCN_Amp	-0.131823693
GSM3403113	0.657739266	MYCN_Amp	0.080268451
GSM3403015	0.519052152	TERT_Rearrangement	0.334712737
GSM3402996	0.582557975	TERT_High	0.231769339
GSM3403163	0.883815567	MYCN_Amp	-0.237757463
GSM3403054	0.341163139	TERT_Rearrangement	0.439210871
GSM3403138	0.753600243	TERT_Rearrangement	-0.067152646
GSM3403148	0.944730311	TERT_Rearrangement	-0.247241955
GSM3403151	0.450505855	MYCN_Amp	0.069138793
GSM3403055	0.795273395	TERT_Rearrangement	-0.052911058
GSM3403121	0.637757324	MYCN_Amp	0.213158875
GSM3403159	0.770508698	MYCN_Amp	0.070066645
GSM3403141	0.768905336	TERT_Rearrangement	0.0826735
GSM3403014	0.532559821	TERT_High	-0.078156775
