SampleID	EXTENDScores	Samples	Tissues	SenescenceScores	EXTENDclass
A101D_SKIN	0.518	A101D	Skin	1.301	Low
A1207_CENTRAL_NERVOUS_SYSTEM	0.497	A1207	CNS	1.178	Low
A172_CENTRAL_NERVOUS_SYSTEM	0.449	A172	CNS	1.190	Low
A204_SOFT_TISSUE	0.650	A204	SoftTissue	1.039	High
A2058_SKIN	0.637	A2058	Skin	1.141	High
A253_SALIVARY_GLAND	0.460	A253	SalivaryGland	1.170	Low
A2780_OVARY	0.709	A2780	Ovary	0.831	High
A375_SKIN	0.538	A375	Skin	1.059	High
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.515	A3KAW	Haematpoetic&Lymphoid	0.792	Low
A427_LUNG	0.800	A427	Lung	0.921	High
A498_KIDNEY	0.415	A498	Kidney	1.169	Low
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.606	A4FUK	Haematpoetic&Lymphoid	0.941	High
A549_LUNG	0.693	A549	Lung	1.182	High
A673_BONE	0.719	A673	Bone	0.954	High
A704_KIDNEY	0.445	A704	Kidney	1.029	Low
ABC1_LUNG	0.649	ABC1	Lung	0.781	High
ACCMESO1_PLEURA	0.516	ACCMESO1	Pleura	1.138	Low
ACHN_KIDNEY	0.505	ACHN	Kidney	1.079	Low
AGS_STOMACH	0.579	AGS	Stomach	0.992	High
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.832	ALLSIL	Haematpoetic&Lymphoid	0.793	High
AM38_CENTRAL_NERVOUS_SYSTEM	0.595	AM38	CNS	1.201	High
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.533	AML193	Haematpoetic&Lymphoid	1.086	High
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.767	AMO1	Haematpoetic&Lymphoid	0.884	High
AN3CA_ENDOMETRIUM	0.676	AN3CA	Endometrium	0.850	High
ASPC1_PANCREAS	0.347	ASPC1	Pancreas	1.137	Low
