SampleID	Stemness	EXTENDScores	Phase	Senescence	ClusterNo	ClusterMean	EXTENDclass
BT1160.P1.A01	0.454092435	0.275459531	NonCycling	0.203090016306929	2	0.233514608641082	Low
BT1160.P1.A02	0.447846348	0.241510252	NonCycling	0.282103943251149	2	0.233514608641082	Low
BT1160.P1.A04	0.470218167	0.197291833	NonCycling	0.255467194883114	2	0.233514608641082	Low
BT1160.P1.A05	0.484233197	0.35122952	NonCycling	0.197255975089236	2	0.233514608641082	Low
BT1160.P1.A06	0.534800886	0.186236351	NonCycling	0.184495776828984	2	0.233514608641082	Low
BT1160.P1.A09	0.592207426	0.23309505	NonCycling	0.38019662534651	2	0.233514608641082	Low
BT1160.P1.A11	0.728434129	0.631817753	G1_S	0.315564754268722	1	0.501930586996053	High
BT1160.P1.B04	0.69892006	0.496280398	G1_S	0.261003855697889	1	0.501930586996053	High
BT1160.P1.B06	0.462518523	0.323041856	NonCycling	0.297186073898393	2	0.233514608641082	Low
BT1160.P1.B09	0.651971817	0.56414677	G2_M	0.302529122513336	1	0.501930586996053	High
BT1160.P1.C04	0.39651919	0.13255496	NonCycling	0.354372721182015	2	0.233514608641082	Low
BT1160.P1.C07	0.466954809	0.354001172	NonCycling	0.354868083284018	2	0.233514608641082	Low
BT1160.P1.C10	0.678072065	0.230368724	G1_S	0.282077445536269	2	0.233514608641082	Low
BT1160.P1.C12	0.451098713	0.176775338	NonCycling	0.311352061926445	2	0.233514608641082	Low
BT1160.P1.D02	0.316391722	0.230515043	NonCycling	0.349154109724728	2	0.233514608641082	Low
BT1160.P1.D03	0.524506292	0.356890793	NonCycling	0.320867282611605	2	0.233514608641082	Low
BT1160.P1.D04	0.651959107	0.594844297	G1_S	0.303887667040362	1	0.501930586996053	High
BT1160.P1.D05	0.616667797	0.429478589	G1_S	0.241982691654863	1	0.501930586996053	High
BT1160.P1.D06	0.630269086	0.370845715	G1_S	0.258640536265736	1	0.501930586996053	High
BT1160.P1.D07	0.507953135	0.291561653	NonCycling	0.307881162847754	2	0.233514608641082	Low
BT1160.P1.D09	0.532445675	0.236398824	NonCycling	0.321748832038394	2	0.233514608641082	Low
BT1160.P1.D10	0.567343869	0.403713004	NonCycling	0.243456604979645	1	0.501930586996053	High
BT1160.P1.D12	0.535294458	0.357186825	NonCycling	0.285441990996322	2	0.233514608641082	Low
BT1160.P1.E01	0.560555817	0.430390884	NonCycling	0.341848061204257	1	0.501930586996053	High
BT1160.P1.E02	0.67015841	0.48263359	G1_S	0.287542522241259	1	0.501930586996053	High
BT1160.P1.E03	0.501315195	0.284141313	NonCycling	0.331577057785123	2	0.233514608641082	Low
BT1160.P1.E04	0.739942382	0.381170101	G1_S	0.307760213254874	1	0.501930586996053	High
BT1160.P1.E06	0.636013422	0.540307605	G1_S	0.305011191470246	1	0.501930586996053	High
BT1160.P1.E07	0.683630288	0.512432324	G1_S	0.422198960665843	1	0.501930586996053	High
BT1160.P1.E08	0.525991953	0.374956518	NonCycling	0.330810281600529	1	0.501930586996053	High
BT1160.P1.E09	0.833191411	0.497932541	G1_S	0.28432136125054	1	0.501930586996053	High
BT1160.P1.E10	0.765688031	0.561368008	G1_S	0.282520143909061	1	0.501930586996053	High
BT1160.P1.E11	0.636580418	0.420332548	G1_S	0.275262985299295	1	0.501930586996053	High
BT1160.P1.F01	0.566976952	0.253453765	NonCycling	0.233940971965511	2	0.233514608641082	Low
BT1160.P1.F04	0.837072201	0.449210375	G1_S	0.228153945282517	1	0.501930586996053	High
BT1160.P1.F05	0.670576849	0.414537964	G1_S	0.29824780454452	1	0.501930586996053	High
BT1160.P1.F06	0.700543539	0.608140843	G1_S	0.286578943674444	1	0.501930586996053	High
BT1160.P1.F07	0.593068767	0.218027472	NonCycling	0.311886906321852	2	0.233514608641082	Low
BT1160.P1.F10	0.729535215	0.568253816	G1_S	0.194857281547015	1	0.501930586996053	High
BT1160.P1.G02	0.64801092	0.593124917	G2_M	0.318309777209027	1	0.501930586996053	High
BT1160.P1.G04	0.587445924	0.171647357	NonCycling	0.380622090798319	2	0.233514608641082	Low
BT1160.P1.G06	0.496144478	0.327597157	NonCycling	0.31170938084685	2	0.233514608641082	Low
BT1160.P1.G09	0.582411642	0.262982261	NonCycling	0.339335613483563	2	0.233514608641082	Low
BT1160.P1.G10	0.683251835	0.369214969	G2_M	0.266000133888803	1	0.501930586996053	High
BT1160.P1.G11	0.756172965	0.40101382	G1_S	0.283578027187171	1	0.501930586996053	High
BT1160.P1.G12	0.447113214	0.316854212	NonCycling	0.35201068455989	2	0.233514608641082	Low
BT1160.P1.H04	0.636773026	0.16878019	NonCycling	0.272914010034256	2	0.233514608641082	Low
BT1160.P1.H05	0.566911248	0.24422577	NonCycling	0.283289480523476	2	0.233514608641082	Low
BT1160.P1.H06	0.383488577	0.2831568	NonCycling	0.273923608728194	2	0.233514608641082	Low
BT1160.P1.H08	0.484358509	0.180813741	NonCycling	0.254945871078407	2	0.233514608641082	Low
BT1160.P1.H09	0.779628135	0.615387424	G1_S	0.218241543245992	1	0.501930586996053	High
BT1160.P1.H10	0.73608248	0.349408716	G1_S	0.254778887342664	2	0.233514608641082	Low
BT1160.P2.A09	0.781762339	0.550666617	G1_S	0.24526101238699	1	0.501930586996053	High
BT1160.P2.B01	0.450740569	0.182431158	NonCycling	0.344310567222128	2	0.233514608641082	Low
BT1160.P2.B03	0.454101516	0.23432385	NonCycling	0.326417664048116	2	0.233514608641082	Low
