SampleID	Stemness	EXTENDScores	Phase	Senescence	ClusterNo	ClusterMean	EXTENDclass
HN25_P23_E12_S252_comb	0.312372609	0.239005007	NonCycling	0.247834710024226	1	0.27526248594617	Low
HN25_P23_G01_S265_comb	0.441350857	0.349914441	NonCycling	0.428311092419	1	0.27526248594617	Low
HN25_P23_H04_S280_comb	0.338436961	0.1180576	NonCycling	0.435439502997251	1	0.27526248594617	Low
HN25_P24_A02_S98_comb	0.398513842	0.114888268	NonCycling	0.507069337645369	1	0.27526248594617	Low
HN25_P24_B01_S109_comb	0.39653091	0.221057652	NonCycling	0.387981172432543	1	0.27526248594617	Low
HN25_P24_B02_S110_comb	0.726819113	0.396795387	G1_S	0.291564556301532	1	0.27526248594617	Low
HN25_P24_B04_S112_comb	0.766357607	0.561679679	G1_S	0.219016720591725	2	0.532642676004338	High
HN25_P24_B07_S115_comb	0.514003346	0.350325918	NonCycling	0.450443083451102	1	0.27526248594617	Low
HN25_P24_E01_S145_comb	0.4145282	0.277875803	NonCycling	0.587159398173578	1	0.27526248594617	Low
HN25_P24_F12_S168_comb	0.525679838	0.548028661	G1_S	0.439820146367219	2	0.532642676004338	High
HN25_P24_G01_S169_comb	0.680231233	0.309011015	NonCycling	0.332950229215902	1	0.27526248594617	Low
HN25_P24_G05_S173_comb	0.434058618	0.38697974	NonCycling	0.34790534970094	1	0.27526248594617	Low
HN25_P24_G07_S175_comb	0.437738774	0.145127763	NonCycling	0.440968099705843	1	0.27526248594617	Low
HN25_P24_G08_S176_comb	0.446362977	0.297990694	G2_M	0.441278053586282	1	0.27526248594617	Low
HN25_P24_G10_S178_comb	0.304217003	0.301179712	NonCycling	0.44384559320118	1	0.27526248594617	Low
HN25_P24_H02_S182_comb	0.234337097	0.202080701	NonCycling	0.480928996671614	1	0.27526248594617	Low
HN25_P25_A09_S297_comb	0.525960728	0.310765307	NonCycling	0.450542909009361	1	0.27526248594617	Low
HN25_P25_A12_S300_comb	0.612966191	0.50669914	G1_S	0.393244236027458	2	0.532642676004338	High
HN25_P25_B12_S312_comb	0.401009841	0.228016627	NonCycling	0.422943616557526	1	0.27526248594617	Low
HN25_P25_C03_S315_comb	0.703243893	0.546768345	G1_S	0.356927854698729	2	0.532642676004338	High
HN25_P25_C04_S316_comb	0.426685631	0.32065655	NonCycling	0.365242901133327	1	0.27526248594617	Low
HN25_P25_C07_S319_comb	0.390997625	0.151601619	NonCycling	0.494887762368688	1	0.27526248594617	Low
HN25_P25_C10_S322_comb	0.647525461	0.424790248	G2_M	0.337312481963335	2	0.532642676004338	High
HN25_P25_D09_S333_comb	0.424744368	0.242261599	NonCycling	0.42551634450722	1	0.27526248594617	Low
HN25_P25_E08_S344_comb	0.355701636	0.278711421	NonCycling	0.507255379104355	1	0.27526248594617	Low
HN25_P25_G11_S371_comb	0.435374313	0.397485893	NonCycling	0.387952576271852	1	0.27526248594617	Low
HN25_P25_G12_S372_comb	0.47832683	0.420859924	NonCycling	0.345136863068985	2	0.532642676004338	High
HN25_P25_H06_S378_comb	0.286393702	0.214069702	NonCycling	0.312675809399258	1	0.27526248594617	Low
HN25_P5_A06_S6_comb	0.569572092	0.200721687	NonCycling	0.363668911412265	1	0.27526248594617	Low
HN25_P5_A07_S7_comb	0.708627848	0.312354391	G2_M	0.370997233014016	1	0.27526248594617	Low
HN25_P5_B10_S22_comb	0.452456011	0.286465375	NonCycling	0.323464419913781	1	0.27526248594617	Low
HN25_P5_B12_S24_comb	0.42930968	0.292311146	NonCycling	0.406008175843811	1	0.27526248594617	Low
HN25_P5_C02_S26_comb	0.446041219	0.329425298	NonCycling	0.587248809862302	1	0.27526248594617	Low
HN25_P5_C09_S33_comb	0.431221778	0.320019799	NonCycling	0.273833369679774	1	0.27526248594617	Low
HN25_P5_D09_S45_comb	0.699798878	0.594794409	G1_S	0.419260952105298	2	0.532642676004338	High
HN25_P5_D12_S48_comb	0.632972053	0.653681051	G1_S	0.514066217496654	2	0.532642676004338	High
HN25_P5_E07_S55_comb	0.545212269	0.221402252	NonCycling	0.477766406204841	1	0.27526248594617	Low
HN25_P5_E09_S57_comb	0.576437585	0.420399329	NonCycling	0.301853991588221	2	0.532642676004338	High
HN25_P5_E11_S59_comb	0.49554866	0.19115941	NonCycling	0.524385608299724	1	0.27526248594617	Low
