SampleID	Tissue	curated_anno	EXTENDscores
BCC_GSE123813_aPD1@bcc_su001_post|0|0	Skin	CD4Tconv	0.238710771
BCC_GSE123813_aPD1@bcc_su001_post|0|0|10	Skin	Treg	0.422919284
BCC_GSE123813_aPD1@bcc_su001_post|0|0|11	Skin	CD4Tconv	0.251847299
BCC_GSE123813_aPD1@bcc_su001_post|0|0|12	Skin	Treg	0.256416493
BCC_GSE123813_aPD1@bcc_su001_post|0|0|13	Skin	CD4Tconv	0.617578826
BCC_GSE123813_aPD1@bcc_su001_post|0|0|14	Skin	Treg	0.58695874
BCC_GSE123813_aPD1@bcc_su001_post|0|0|15	Skin	CD4Tconv	0.422949982
BCC_GSE123813_aPD1@bcc_su001_post|0|0|16	Skin	CD4Tconv	0.286318114
BCC_GSE123813_aPD1@bcc_su001_post|0|0|17	Skin	CD4Tconv	0.274037143
BCC_GSE123813_aPD1@bcc_su001_post|0|0|18	Skin	Treg	0.468147474
BCC_GSE123813_aPD1@bcc_su001_post|0|0|19	Skin	Treg	0.747570473
BCC_GSE123813_aPD1@bcc_su001_post|0|0|2	Skin	Treg	0.407479769
BCC_GSE123813_aPD1@bcc_su001_post|0|0|3	Skin	CD8T	0.307695232
BCC_GSE123813_aPD1@bcc_su001_post|0|0|4	Skin	Treg	0.459729986
BCC_GSE123813_aPD1@bcc_su001_post|0|0|5	Skin	CD4Tconv	0.24824555
BCC_GSE123813_aPD1@bcc_su001_post|0|0|6	Skin	CD4Tconv	0.254398613
BCC_GSE123813_aPD1@bcc_su001_post|0|0|7	Skin	CD4Tconv	0.289653977
BCC_GSE123813_aPD1@bcc_su001_post|0|0|8	Skin	CD4Tconv	0.271156884
BCC_GSE123813_aPD1@bcc_su001_post|0|0|9	Skin	Treg	0.232973625
BCC_GSE123813_aPD1@bcc_su001_post|0|1	Skin	CD8T	0.414193821
BCC_GSE123813_aPD1@bcc_su001_post|0|1|10	Skin	CD4Tconv	0.082048601
BCC_GSE123813_aPD1@bcc_su001_post|0|1|11	Skin	CD8T	0.419111418
BCC_GSE123813_aPD1@bcc_su001_post|0|1|12	Skin	CD8T	0.246525951
BCC_GSE123813_aPD1@bcc_su001_post|0|1|13	Skin	CD8T	0.555288994
BCC_GSE123813_aPD1@bcc_su001_post|0|1|14	Skin	CD8T	0.412332407
BCC_GSE123813_aPD1@bcc_su001_post|0|1|15	Skin	CD8T	0.232543057
BCC_GSE123813_aPD1@bcc_su001_post|0|1|2	Skin	CD8T	0.255534001
BCC_GSE123813_aPD1@bcc_su001_post|0|1|3	Skin	CD8T	0.465228182
BCC_GSE123813_aPD1@bcc_su001_post|0|1|4	Skin	CD8T	0.281360477
BCC_GSE123813_aPD1@bcc_su001_post|0|1|5	Skin	CD8T	0.416707463
BCC_GSE123813_aPD1@bcc_su001_post|0|1|6	Skin	CD8T	0.58517655
BCC_GSE123813_aPD1@bcc_su001_post|0|1|7	Skin	CD8T	0.613647359
BCC_GSE123813_aPD1@bcc_su001_post|0|1|8	Skin	CD8T	0.249131722
BCC_GSE123813_aPD1@bcc_su001_post|0|1|9	Skin	CD8T	0.577619073
BCC_GSE123813_aPD1@bcc_su001_post|1|0	Skin	CD4Tconv	0.576666229
BCC_GSE123813_aPD1@bcc_su001_post|1|0|10	Skin	Treg	0.556455585
BCC_GSE123813_aPD1@bcc_su001_post|1|0|11	Skin	Treg	0.717012871
BCC_GSE123813_aPD1@bcc_su001_post|1|0|12	Skin	CD4Tconv	0.230324671
BCC_GSE123813_aPD1@bcc_su001_post|1|0|13	Skin	Treg	0.468732643
BCC_GSE123813_aPD1@bcc_su001_post|1|0|2	Skin	Treg	0.592908625
BCC_GSE123813_aPD1@bcc_su001_post|1|0|3	Skin	CD4Tconv	0.730289774
BCC_GSE123813_aPD1@bcc_su001_post|1|0|4	Skin	Treg	0.418045324
BCC_GSE123813_aPD1@bcc_su001_post|1|0|5	Skin	Treg	0.218892435
BCC_GSE123813_aPD1@bcc_su001_post|1|0|6	Skin	Treg	0.543307664
BCC_GSE123813_aPD1@bcc_su001_post|1|0|7	Skin	Treg	0.566186788
BCC_GSE123813_aPD1@bcc_su001_post|1|0|8	Skin	Treg	0.543759588
BCC_GSE123813_aPD1@bcc_su001_post|1|0|9	Skin	Treg	0.55686693
BCC_GSE123813_aPD1@bcc_su001_post|1|1	Skin	CD8T	0.236927103
BCC_GSE123813_aPD1@bcc_su001_post|1|1|2	Skin	CD8T	0.271476404
BCC_GSE123813_aPD1@bcc_su001_post|1|1|3	Skin	CD8T	0.576739908
BCC_GSE123813_aPD1@bcc_su001_post|1|1|4	Skin	CD8T	0.426365525
BCC_GSE123813_aPD1@bcc_su001_post|1|2|1	Skin	Treg	0.419220401
BCC_GSE123813_aPD1@bcc_su001_post|1|2|2	Skin	Treg	0.398274472
BCC_GSE123813_aPD1@bcc_su001_post|1|2|3	Skin	Treg	0.418942115
BCC_GSE123813_aPD1@bcc_su001_post|1|2|4	Skin	Treg	0.412244883
BCC_GSE123813_aPD1@bcc_su001_post|10|0	Skin	Treg	0.522128047
BCC_GSE123813_aPD1@bcc_su001_post|10|0|2	Skin	Treg	0.676856316
BCC_GSE123813_aPD1@bcc_su001_post|10|0|3	Skin	Treg	0.670591012
BCC_GSE123813_aPD1@bcc_su001_post|10|0|4	Skin	CD4Tconv	0.61228912
BCC_GSE123813_aPD1@bcc_su001_post|10|1|1	Skin	Treg	0.694739406
BCC_GSE123813_aPD1@bcc_su001_post|11|0|1	Skin	Tprolif	0.804230985
BCC_GSE123813_aPD1@bcc_su001_post|11|0|2	Skin	Tprolif	0.717274497
BCC_GSE123813_aPD1@bcc_su001_post|11|0|3	Skin	Tprolif	0.80163185
BCC_GSE123813_aPD1@bcc_su001_post|12|0	Skin	CD8T	0.405679433
BCC_GSE123813_aPD1@bcc_su001_post|12|0|2	Skin	CD8T	0.36126261
BCC_GSE123813_aPD1@bcc_su001_post|12|0|3	Skin	CD8T	0.726891316
