SampleID	Cancer	EXTENDScores	ClusterNo	ClusterMean	EXTENDclass	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
TCGA-02-0047-01	GBM	0.266677545	1	0.2751568524875	Low	0	0.0143643864756758	0	0.0210088110835799	0	0.090354428386181	0	0.0284370525696305	0.0191052887576687	0	0.0515519293474025	0.00086825310320549	0.00350490468102229	0.306603175404308	0.00536125768854142	0.425598038603313	0	0	0.0139243021428986	0	0	0.0193181717565721
TCGA-02-0055-01	GBM	0.320599385	1	0.2751568524875	Low	0	0.00595807777039155	0.00619679134233433	0.020465831837624	0	0.0335739095572247	0	0.00874927944406601	0	0	0	0.0330792182370462	0.181828387539024	0.0921237937074763	0.000653278471422116	0.461887394397529	0	0.00379678820644597	0	0.115412334160177	0	0.036274915329239
TCGA-02-2483-01	GBM	0.456975519	2	0.442584278966292	High	0	0.00154913189975772	0.00197290900375524	0.0476310694244809	0	0	0	0.0408203920796506	0	0	0	0.0381568037873799	0.129644952385946	0	0.00607144928368582	0.632608144188666	0	0	0	0.0883068487940722	0	0.0132382991526058
TCGA-02-2485-01	GBM	0.518990907	2	0.442584278966292	High	0	0.0164857372626072	0.00661954355231809	0.015522783780258	0	0	0	0.198057477633443	0	0.0543409860952262	0	0.105907042195716	0.073433065048422	0.00617191155743338	0.0745227746167508	0.342673031205944	0	0	0	0.0949941048194998	0.0112715422323815	0
TCGA-02-2486-01	GBM	0.224016336	1	0.2751568524875	Low	0.00578969100548019	0	0.000746417760118311	0.0618834370280565	0	0.0501633772244694	0.0119943781351642	0.0314648613063453	0.0245108501495153	0	0.0349744474324931	0	0.132906124577159	0	0.00713538492023713	0.543045723838601	0	0.00799978426057039	0.0412829187126092	0	0	0.0461026036491805
TCGA-04-1348-01	OV	0.606676637	1	0.556235493122951	High	0.0377027989305063	0	0.00846757863879121	0.134506917867914	0	0.116307828628627	0	0.0952082045002261	0.0587918353984877	0	0	0.114216676498362	0.0383794409767579	0.0812329446808163	0.0837789662414468	0.192489961358898	0	0	0	0.0389168462791679	0	0
TCGA-04-1357-01	OV	0.39916854	2	0.41298968798913	Low	0.0126114553767246	0.0406865712040189	0.00695829595654012	0.24468324937431	0	0.143129400920266	0	0.0853669647570348	0.0646748292656928	0	0	0.051115222139918	0.0297290636557915	0.0246060637488338	0.112697349326621	0.143760846618013	0.0274825601237051	0	0	0.01249812753253	0	0
TCGA-04-1362-01	OV	0.503648934	1	0.556235493122951	High	0	0.0289926806423834	0	0.0247759023188183	0	0.178071088306458	0	0.036021057722519	0	0	0	0.0672995334866853	0.099179120410419	0	0	0.376689259994477	0	0.100302469830601	0	0.0886688872876379	0	0
TCGA-04-1364-01	OV	0.530465102	1	0.556235493122951	High	0.0388313271635758	0.0271556873829538	0	0.0208279198725109	0	0.156116132447396	0	0.0717699009718144	0	0	0	0	0	0.458159237821614	0	0.190287693331153	0	0	0	0.0368521010089817	0	0
TCGA-04-1365-01	OV	0.543786324	1	0.556235493122951	High	0	0.0498324511864502	0.0146564865792974	0.177863995106942	0	0.0890752677818422	0	0.104898948245577	0.0395051160687488	0	0	0.102583071551553	0.0818770266424929	0.0690999950696276	0.0544274826735589	0.173146638455342	0.00488332140318689	0.0109594121300698	0	0.0271907871053113	0	0
TCGA-04-1514-01	OV	0.555507032	1	0.556235493122951	High	0.0402259312699208	0	0.0194668507331834	0.154234097115621	0	0.00771337976578451	0	0.170211928695847	0	0	0	0.0896056500504808	0.108595780763853	0	0.018918828724977	0.293180146390113	0	0.09784740649022	0	0	0	0
TCGA-04-1519-01	OV	0.47536463	2	0.41298968798913	Low	0.0283737439729966	0	0.000608623844415739	0.0671784495155782	0	0.185689095681081	0	0.0466279767426686	0.00779617978777455	0	0	0.11665799298142	0.0457617472695704	0.134359732943204	0.00260421222592781	0.0908594732113263	0	0	0.271192296529651	0	0	0.00229047529438515
TCGA-05-4244-01	LUAD	0.424247794	2	0.481360213631579	High	0	0.0207723957135575	0.0235296880608738	0.0455604096596519	0	0.142351836409007	0	0.0623737039556983	0.0066896925387262	0	0.0186863609612499	0	0.110700863116249	0.0873196167042768	0.0153019750545362	0.374714811369116	0.0425214137489664	0.0124221452471014	0.0370550874609893	0	0	0
TCGA-05-4249-01	LUAD	0.318901537	1	0.28749573203169	Low	0.0100032222699127	0.0301428489613405	0.0228840490823609	0.0309554391249817	0	0.0991470878796562	0	0.0310137077847614	0.0310055530584665	0	0	0.0359970252128401	0.0340049088204565	0	0.017159271138972	0.285952393766167	0.215164151753386	0.000452624547523886	0.144819960547643	0	0	0.0112977560515316
TCGA-05-4250-01	LUAD	0.397134556	2	0.481360213631579	High	0.0763317392490797	0	0.0223518996148062	0.240335662341504	0	0	0.105364703478583	0.0591650105515318	0	0	0	0.0305608946468917	0.0115354004556385	0.0115803068266135	0.0591228606381221	0.352205324809581	0.0114763481057955	0.000610942398742486	0	0.00823481178405607	0	0.0111240950990545
TCGA-05-4382-01	LUAD	0.291871505	1	0.28749573203169	Low	0.035664884252464	0.00694957824984696	0.0469813508255799	0.0580216874222749	0	0.118319139368062	0.0210342383256337	0.0287017119804242	0.0148308857139193	0	0.00643934941189326	0	0.0138977082622922	0.0484471163285747	0.0541598926843921	0.500164546294949	0.00320470739126257	0	0	0.0431832034884307	0	0
TCGA-05-4384-01	LUAD	0.242199829	1	0.28749573203169	Low	0.0807907172219	0	0.0856529465461532	0.0671945670345153	0	0.0801344776306108	0	0.0558676178464822	0.0113223957864985	0	0.0147092466506741	0.0479484557261213	0.0501822283771491	0	0.0103586896966541	0.44523423715236	0	0.00335602872362842	0.0306810237223376	0	0	0.0165673678849152
